onet_soc_code,spe_ocupacion,similarity_score
13-1032.00,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.5697760654382343
13-1032.00,Otros Reparadores,0.485890354049099
13-1032.00,Avaluadores,0.46749237972795515
13-1041.00,Ensambladores e Inspectores de Vehículos Automotores,0.4829246111652664
13-1041.00,"Inspectores de Control de Calidad, Procesamiento de Alimentos y Bebidas",0.4787415783774778
13-1041.00,Ensambladores e Inspectores de Ensamble de Aeronaves,0.47740343115720546
13-1041.01,Ensambladores e Inspectores de Vehículos Automotores,0.5024597103389254
13-1041.01,"Inspectores de Productos Agrícola, Pecuarios y de Pesca",0.4973837967157606
13-1041.01,Inspectores de Construcción,0.4939072688452901
13-1041.03,Supervisores de Empleados de Apoyo Administrativo,0.40959527383177013
13-1041.03,Supervisores de Empleados de Correo y Mensajería,0.39666410096608185
13-1041.03,Evaluadores de Competencias Laborales,0.3944199171970128
13-1041.04,Inspectores de Construcción,0.5274905305850659
13-1041.04,Inspectores de Policía,0.5061624502284394
13-1041.04,Inspectores de Pruebas No destructivas,0.49870245263287194
13-1041.06,Profesionales en ciencias forenses,0.4204587418706864
13-1041.06,Investigadores criminalísticos y judiciales,0.3970553736036581
13-1041.06,Auxiliares de Servicios Funerarios,0.3782157552787015
13-1041.07,Funcionarios de Regulación,0.4698711031730911
13-1041.07,Representante de servicios especializados,0.4620109854358521
13-1041.07,Auxiliares de Archivo y Registro,0.42800311730092977
13-1041.08,Auxiliares de aduana,0.4347495537899739
13-1041.08,Agentes de Aduana,0.4328194499807397
13-1041.08,Asistentes de Comercio Exterior,0.42504440773378926
13-1051.00,Ingenieros en Construcción y Obras Civiles,0.4350447841525543
13-1051.00,Auxiliares de Compras e Inventarios,0.4224310868950779
13-1051.00,"Contratistas y Supervisores de Ajustadores de Máquinas y Herramientas, y de Ocupaciones Relacionadas",0.4185750784429241
13-1071.00,Representante de servicios especializados,0.48945366097458687
13-1071.00,Asistentes de Talento Humano,0.4806620430474291
13-1071.00,Profesionales de Talento Humano,0.47730374507679496
13-1074.00,Conductores de Transporte de Alimentos,0.5260955749878353
13-1074.00,Operarios de Riego Agrícola,0.5109246341516671
13-1074.00,Trabajadores Agrícolas,0.49869976999460763
13-1075.00,Representante de servicios especializados,0.4805001281079635
13-1075.00,"Contratistas y Supervisores de Ajustadores de Máquinas y Herramientas, y de Ocupaciones Relacionadas",0.44275878171892175
13-1075.00,Auxiliares de Seguridad en el Trabajo,0.43910166988831284
13-1081.00,Gerentes de Logística,0.49637868085848014
13-1081.00,"Supervisores de Almacenamiento, Inventario y  Distribución",0.42521430355831275
13-1081.00,Auxiliares de Compras e Inventarios,0.39126471136321783
13-1081.01,Gerentes de Logística,0.4681763920648437
13-1081.01,Ingenieros en Construcción y Obras Civiles,0.45384230446924556
13-1081.01,Ingenieros  de Telecomunicaciones,0.4314335241989399
13-1081.02,Gerentes de Logística,0.47363021963701535
13-1081.02,Analistas de Sistemas Informáticos,0.4614905949990441
13-1081.02,"Analistas de Calidad, Textiles",0.4600392539086262
13-1082.00,Representante de servicios especializados,0.4269993654518616
13-1082.00,"Supervisores y coordinadores de procesos de negocio, Empleados de información y servicio al cliente",0.41992052612990016
13-1082.00,Contratistas y Supervisores de Operación de Equipo Pesado,0.40741759643334413
13-1111.00,Analistas de Sistemas Informáticos,0.46634826632907894
13-1111.00,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.46536349335234656
13-1111.00,"Consultores, Investigadores y Analistas de Política Económica",0.4482516565548364
13-1121.00,Coordinadores y Productores de Eventos y Espectáculos,0.5548158869926113
13-1121.00,Auxiliares de Producción de Eventos y Espectáculos,0.4783910662702537
13-1121.00,"Supervisores y coordinadores de procesos de negocio, Empleados de información y servicio al cliente",0.4227392538678455
13-1131.00,Agentes y Promotores Artísticos,0.4265427357266974
13-1131.00,Auxiliares de Producción de Eventos y Espectáculos,0.392148332346828
13-1131.00,Coordinadores y Productores de Eventos y Espectáculos,0.38346621646693324
13-1141.00,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.5390796508603453
13-1141.00,"Analistas, Asistentes y Asesores de Servicios Financieros",0.5284904636771518
13-1141.00,Auxiliares de Nómina y Prestaciones,0.5070588903803805
13-1151.00,Gerentes de Programas de Política de Desarrollo Económico,0.5064496203215542
13-1151.00,Evaluadores de Competencias Laborales,0.48690018478475977
13-1151.00,Gerentes de Programas de Política Social y de Salud,0.47955462574892355
13-1161.00,"Analistas, Asesores y Agentes de Mercado Financiero",0.48267347245504577
13-1161.00,"Asistentes de Mercadeo, Publicidad y Comunicaciones",0.418472490088606
13-1161.00,"Consultores, Investigadores y Analistas de Política Económica",0.4139687737742227
