esco_uri,spe_ocupacion,similarity_score
http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.49449181671283166
http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,Supervisores de Vigilantes,0.4803421984477162
http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,Supervisores de Empleados de Correo y Mensajería,0.47235987523639
http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,"Diseñadores de Teatro, Moda, Exhibición y Otros Diseñadores Creativos",0.39117757285747234
http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,"Inspectores de Control de Calidad, Fabricación de Productos de Tela, Piel y Cuero",0.36643240292185564
http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,"Supervisores de Fabricación de Productos de Tela, Cuero y Piel",0.36556761117380454
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,Auxiliares administrativos en Salud,0.42908901578586783
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,"Investigadores, Consultores y Funcionarios de Políticas Sociales de Salud y de Educación",0.4223527436404926
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,Editores y Redactores,0.4162987358545038
http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,Operarios torres de perforación de hidrocarburos,0.4300868857665924
http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,Operadores de Máquinas de Planta Química,0.4222595563732028
http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,"Operadores de Procesos, Químicos, Gas y Petróleo",0.4186028218183098
http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,Ingenieros de Tecnologías de la Información,0.4793232575508942
http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,Ingenieros de Automatización e Instrumentación,0.4596325240628556
http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,Ingenieros  Electrónicos,0.45565601951154666
http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,Asistentes Legales y Afines,0.4496305661716986
http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,Asistentes Financieros,0.3973117503122669
http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,"Asistentes de Juzgados, Tribunales y Afines",0.3830116982424613
http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,Operadores de Telares y Otras Máquinas Tejedoras,0.5625246140645013
http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,"Mecánicos de Maquinaria Textil, confección, cuero, calzado y marroquinería",0.5431894350464223
http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,"Operadores de Máquinas de Tintura, Acabado Textil y Prendas",0.5417415812846957
http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,Instaladores de Pisos,0.5195160250846897
http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,Operarios de Acabado de Muebles,0.44224849854469106
http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,Tapiceros,0.44211718467414385
http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,Operadores de Máquinas y Trabajadores Relacionados con la Fabricación de Calzado y Marroquinería,0.5120128646376361
http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,Gerentes de Comercio al Por Menor,0.49934190828765523
http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,Gerentes de Restaurantes y Servicios de Alimentos,0.4932676479013203
http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2,Directores de Programas de Esparcimiento y Administradores de Deportes,0.4705364842447448
http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2,Supervisores de servicios de Alojamiento y Hospedaje,0.44909633826245193
http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2,Gerentes de Servicios Hoteleros,0.44722676306185155
http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa,Supervisores de Producción Pecuaria,0.5281668345604635
http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa,Supervisores de Producción Agrícola,0.5187245801395031
http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa,Trabajadores del Cuidado de Animales,0.4692637341255843
http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7,Auxiliares Administrativos,0.44763010773341805
http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7,"Asistentes de Juzgados, Tribunales y Afines",0.43956144189686186
http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7,Asistentes Administrativos,0.43637517747213356
http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,Operarios de servicios a pozos de hidrocarburos,0.530975957225105
http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,Operarios torres de perforación de hidrocarburos,0.5304208406259506
http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,Operadores de producción de hidrocarburos,0.5248227249444882
http://data.europa.eu/esco/occupation/029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,"Mecánicos de Maquinaria Textil, confección, cuero, calzado y marroquinería",0.529467359658443
http://data.europa.eu/esco/occupation/029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,"Operadores de Máquinas de Tintura, Acabado Textil y Prendas",0.5260840772323891
http://data.europa.eu/esco/occupation/029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,"Inspectores de Control de Calidad, Fabricación de Productos de Tela, Piel y Cuero",0.5218938330600095
http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,Operarios de Recubrimientos Metálicos,0.6835850105976077
http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,Operadores de Máquinas para el Trabajo del Metal,0.660299182559466
http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,"Operadores de Máquinas, Tratamiento de Metales y Minerales",0.5933565816969542
http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,Administradores de Explotación Acuícola y Jefes de Laboratorio de Cultivo o Producción Acuícola,0.5816908528158671
http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,"Gerentes de Producción Agrícola, Pecuaria, Acuícola y Pesquero",0.5569182215297587
http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,Supervisores de Producción Pecuaria,0.4806968104524845
http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12,Operadores de Máquinas Herramientas,0.5106388332549621
http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12,Mecánicos de Vehículos Automotores,0.48229242367138697
http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12,Operadores de Máquinas para la fabricación de Otros Productos n.c.a.,0.48096289542393933
http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7,Supervisores de servicios de Alojamiento y Hospedaje,0.5822716498012663
http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7,Empleados de Recepción Hotelera,0.5278342831330649
http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7,Auxiliares de servicios hoteleros,0.5080604235198507
http://data.europa.eu/esco/occupation/02e94cd6-8e6d-4e9b-b695-edb460c70528,"Pintores, Escultores y Otros Artistas Visuales",0.5641257131385403
http://data.europa.eu/esco/occupation/02e94cd6-8e6d-4e9b-b695-edb460c70528,Ceramistas,0.5447665399272095
http://data.europa.eu/esco/occupation/02e94cd6-8e6d-4e9b-b695-edb460c70528,Pintores y Empapeladores,0.4316004836838344
http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,Ingenieros  de Telecomunicaciones,0.6485651117205101
http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,"Auxiliares técnicos de instalación, mantenimiento y reparación de sistemas de Telecomunicaciones",0.5465432528515318
http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,Técnicos instaladores de Redes y Líneas de Telecomunicaciones,0.5308941313652208
http://data.europa.eu/esco/occupation/02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a,Profesores de Educación Básica Primaria,0.42664964076801015
http://data.europa.eu/esco/occupation/02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a,Profesores de Educación Básica Secundaria y Media,0.424950263689504
http://data.europa.eu/esco/occupation/02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a,Profesores e Instructores de Formación para el Trabajo,0.41843976849408254
http://data.europa.eu/esco/occupation/02f26b2f-879c-4811-8381-65e8dd3f4a16,"Inspectores de Control de Calidad, Fabricación de Productos de Tela, Piel y Cuero",0.4590331625348082
