uri,nombre,nombres_alternativos,nombres_ocultos,codigo_isco,codigo_nace,definicion,nota_profesion_regulada,nota_alcance,esquema
http://data.europa.eu/esco/occupation/771955d9-e988-47f3-b60f-207adb2cd571,gerente de instalaciones recreativas,"directora de instalaciones recreativas
director de instalaciones recreativas",,1431,http://data.europa.eu/ux2/nace2.1/9329,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/771a47c9-9cf4-4368-9752-2a1ea5a783d7,detective privado,,,3411,http://data.europa.eu/ux2/nace2.1/8001,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/7720f392-6ea0-4455-a805-7b7eef38a709,revisor/revisora,"revisora
interventora
revisor
interventor",,5112,http://data.europa.eu/ux2/nace2.1/491,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/772e57c5-fb25-4b0c-8cc8-f8944a9edfbc,operador de moldeo de fibra de vidrio por espray/operadora de moldeo de fibra de vidrio por espray,"técnico de moldeo de fibra de vidrio por espray
técnica de moldeo de fibra de vidrio por espray
operador de moldeo de fibra de vidrio por espray
operadora de moldeo de fibra de vidrio por espray",,8142,http://data.europa.eu/ux2/nace2.1/2016,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/773753ad-c4f7-4052-b3b4-440435199d6b,vendedor especializado en cosmética y perfumería/vendedora especializada en cosmética y perfumería,"vendedora especializada en cosmética y perfumería
vendedor especializado en cosmética y perfumería",,5223,http://data.europa.eu/ux2/nace2.1/4775,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/773cf1de-50a4-42e7-bab1-e68dcbae3f54,operario forestal/operaria forestal,"jornalera
operaria de los bosques
operaria forestal
jornalero
operario de los bosques
silvicultor
silvicultora
operario del bosque
operario forestal
operaria del bosque",,9215,"http://data.europa.eu/ux2/nace2.1/021,
http://data.europa.eu/ux2/nace2.1/024",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/773e5ea3-235b-4e72-afc5-290dd841eed8,especialista en planificación de interiores,"decoradora
decorador
diseñadora de interiores
diseñador de interiores
especialista en organización de interiores
planificadora de interiores
planificador de interiores",,3432,http://data.europa.eu/ux2/nace2.1/7413,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/774ad663-2124-4ac2-a287-5fb2e478906e,técnico de central nuclear/técnica de central nuclear,"técnico de central nuclear
técnica de central nuclear
técnico de seguridad nuclear
técnico de laboratorio nuclear
técnica de seguridad nuclear
técnica de laboratorio nuclear",,3111,http://data.europa.eu/ux2/nace2.1/712,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f,gestor de riesgos de seguridad informática (ciberseguridad)/gestora de riesgos de seguridad informática (ciberseguridad),"gestor de riesgos de seguridad informática (ciberseguridad)
administradora de seguridad de TIC
gestora de seguridad de TIC
gestor de seguridad de TIC
gestor de seguridad de TI
administrador de seguridad de TIC
gestora de seguridad de TI
gestor de seguridad de TICs
gestora de riesgos de seguridad informática (ciberseguridad)
gestor de seguridad informática
gestora de seguridad de TICs
gestora de seguridad informática",,2529,http://data.europa.eu/ux2/nace2.1/629,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/776837b1-6f6b-4014-8330-d56918303e93,monitor de snowboard/monitora de snowboard,"monitor de snowboard
monitor de tablanieve
monitora de snowboard
monitora de tablanieve",,3422,http://data.europa.eu/ux2/nace2.1/8551,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
