periodo,ano,mes,DPTO,empleo,informales,tasa_informalidad
2024-10,2024,10,94,8244.071625354,6780.236837066001,82.24
2024-10,2024,10,95,24069.553381715003,15613.156694328998,64.87
2024-10,2024,10,97,5225.242545484,2071.899330516,39.65
2024-10,2024,10,99,7605.864336976,5370.919544698999,70.62
2024-11,2024,11,5,3296613.398243901,1432988.86097818,43.47
2024-11,2024,11,8,1228720.9333971892,730942.2896304871,59.49
2024-11,2024,11,11,4331949.51181696,1430134.9966848502,33.01
2024-11,2024,11,13,884902.63071008,599933.05219306,67.8
2024-11,2024,11,15,573083.0675061471,372604.313468544,65.02
2024-11,2024,11,17,453591.14873526304,210732.400624912,46.46
2024-11,2024,11,18,162939.46096868598,130985.543080341,80.39
2024-11,2024,11,19,756191.495073757,598439.241278995,79.14
2024-11,2024,11,20,513578.13912161195,345027.38174825005,67.18
2024-11,2024,11,23,871168.095773978,729626.494210325,83.75
2024-11,2024,11,25,1668341.927144478,683015.762844935,40.94
2024-11,2024,11,27,146817.15193134503,121875.938807617,83.01
2024-11,2024,11,41,514436.97979866096,372111.124259645,72.33
2024-11,2024,11,44,377670.17414279806,283597.182973183,75.09
2024-11,2024,11,47,596971.950286726,473052.706539832,79.24
2024-11,2024,11,50,549745.231351285,321476.998065015,58.48
2024-11,2024,11,52,868267.961108142,702059.373240854,80.86
2024-11,2024,11,54,687148.84282236,481314.56050188,70.05
2024-11,2024,11,63,258237.075726173,132487.179102386,51.3
2024-11,2024,11,66,446520.998079543,218527.894051577,48.94
2024-11,2024,11,68,1079199.06949446,583167.5154785181,54.04
2024-11,2024,11,70,416191.038214335,341933.16547420004,82.16
2024-11,2024,11,73,590841.09555532,392607.01541419,66.45
2024-11,2024,11,76,2112190.2051940197,1091478.46655931,51.68
2024-11,2024,11,81,38026.73536516199,25190.608289630007,66.24
2024-11,2024,11,85,81481.79106338002,45311.98647288001,55.61
2024-11,2024,11,86,15754.954579249,8581.453866056,54.47
2024-11,2024,11,88,20925.970241299998,4382.863715752999,20.94
2024-11,2024,11,91,16193.185969856,10719.23671357,66.2
2024-11,2024,11,94,8658.212158778,6632.823665598999,76.61
2024-11,2024,11,95,24822.893853583002,15262.558087916,61.49
2024-11,2024,11,97,5313.463392805999,2641.066770661,49.71
2024-11,2024,11,99,8766.704678332,5903.8367718360005,67.34
2024-12,2024,12,5,3403342.099817381,1522684.306763547,44.74
2024-12,2024,12,8,1312057.4541970622,856940.358448151,65.31
2024-12,2024,12,11,4202343.79442245,1372193.04763505,32.65
2024-12,2024,12,13,945701.34204783,681683.87763465,72.08
2024-12,2024,12,15,552980.565643971,326653.29764170805,59.07
2024-12,2024,12,17,452782.34001601,233572.099295422,51.59
2024-12,2024,12,18,171427.391911953,128688.40895654401,75.07
2024-12,2024,12,19,777441.4746741609,639696.004640879,82.28
2024-12,2024,12,20,480749.810140552,355030.011030292,73.85
2024-12,2024,12,23,864512.805684032,693604.109323738,80.23
2024-12,2024,12,25,1738528.891556772,722177.606555897,41.54
2024-12,2024,12,27,142202.25954779098,123056.48763998899,86.54
2024-12,2024,12,41,480294.670790216,357252.049461556,74.38
2024-12,2024,12,44,389344.706605176,334702.32511722704,85.97
2024-12,2024,12,47,608374.471004558,447919.869434172,73.63
2024-12,2024,12,50,540368.83889268,321492.84672797,59.5
