uri,nombre,definicion,tipo_habilidad,nivel_reutilizacion
http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97,realización de pruebas de ingeniería social,"Realizar simulacros de ataques de ingeniería social para detectar vulnerabilidades en la postura de seguridad de una organización. Las pruebas de ingeniería social pueden incluir correos electrónicos de suplantación de identidad («phishing»), ataques de pretexto u otras formas de manipulación utilizadas por los atacantes para obtener información delicada o acceso no autorizado a los sistemas.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,gestionar datos de investigación,"Producir y analizar datos científicos procedentes de métodos de investigación cualitativos y cuantitativos. Almacenar y mantener los datos en bases de datos de investigación. Apoyar la reutilización de datos científicos y estar familiarizado con principios de gestión de datos abiertos.
    ",skill/competence,cross-sector
http://data.europa.eu/esco/skill/094ef6aa-844f-44ce-8456-fdc49276bf58,impresión digital,"La técnica que permite imprimir una imagen digital directamente en una serie de materiales, principalmente mediante impresoras de inyección de tinta o láser.",knowledge,sector-specific
http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc,Cain and Abel (herramienta para pruebas de penetración),"La herramienta de software Cain and Abel es una herramienta de recuperación de contraseña que prueba el sistema operativo de Microsoft en busca de debilidades de seguridad y acceso potencialmente no autorizado a la información del sistema. La herramienta decodifica, descifra y descubre contraseñas a través de ataques de fuerza bruta y criptoanálisis, análisis de protocolos y análisis de redes.",knowledge,sector-specific
http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,ciclo de vida del desarrollo de sistemas,"La secuencia de pasos, como la planificación, creación, prueba e implementación y los modelos para el desarrollo y la gestión del ciclo de vida de un sistema.",knowledge,cross-sector
http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,programa informático de transporte relacionado con un sistema de planificación de recursos,"Software de gestión empresarial para recopilar, gestionar e interpretar datos relacionados con el envío, el pago, el inventario, la fabricación aplicada en el transporte y la distribución.",knowledge,cross-sector
http://data.europa.eu/esco/skill/0a0532c2-ee60-4410-8e07-70e4d69370ec,realizar el control automático de procesos,Utilizar el sistema de control o automatización de procesos para controlar un proceso de producción de forma automática.,skill/competence,cross-sector
http://data.europa.eu/esco/skill/0a099c81-6a0c-4f00-bb3b-990d23ec03a5,gestionar el proceso de solicitud de cambio de las TIC,"Especificar la motivación para una solicitud de cambio de las TIC, indicando qué ajuste del sistema debe realizarse y llevar a cabo o supervisar su ejecución.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0a30e5a8-60a8-4fda-9f89-8e9cee38da5a,utilizar lenguaje de descripción de interfaz,"Utilizar el lenguaje de especificación para describir la conexión de interfaz entre programas o componentes de software de manera independiente al lenguaje de programación. Los lenguajes compatibles con este método son, entre otros, el CORBA y el WSDL.",skill/competence,occupation-specific
http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,planificar la migración a la nube,"Seleccionar cargas de trabajo y procesos existentes para su posible migración a la nube y elegir herramientas de migración. Definir una nueva estructura en la nube para una solución ya existente y planificar una estrategia para migrar las cargas de trabajo actuales a la nube.
	",skill/competence,sector-specific
