programa,rango_ingreso,graduados,porcentaje
ESPECIALIZACION EN ANESTESIA CARDIOVASCULAR Y TORACICA,"Entre 1 y 1,5 SMMLV",2,14.29
ESPECIALIZACION EN ANESTESIA CARDIOVASCULAR Y TORACICA,"Entre 2,5 y 4 SMMLV",2,14.29
ESPECIALIZACION EN ANESTESIA CARDIOVASCULAR Y TORACICA,Entre 4 y 6 SMMLV,2,14.29
ESPECIALIZACION EN ANESTESIA CARDIOVASCULAR Y TORACICA,Entre 6 y 9 SMMLV,2,14.29
ESPECIALIZACION EN ANESTESIA CARDIOVASCULAR Y TORAXICA,Entre 6 y 9 SMMLV,4,33.33
ESPECIALIZACION EN ANESTESIA CARDIOVASCULAR Y TORAXICA,Más de 9 SMMLV,4,33.33
ESPECIALIZACION EN ANESTESIA CARDIOVASCULAR Y TORAXICA,Entre 4 y 6 SMMLV,3,25.0
ESPECIALIZACION EN ANESTESIA CARDIOVASCULAR Y TORAXICA,1 SMMLV,1,8.33
ESPECIALIZACION EN ANESTESIA Y MEDICINA PERIOPERATORIA,Más de 9 SMMLV,2,66.67
ESPECIALIZACION EN ANESTESIA Y MEDICINA PERIOPERATORIA,Entre 4 y 6 SMMLV,1,33.33
ESPECIALIZACION EN ANESTESIOLOGIA,Más de 9 SMMLV,254,54.98
ESPECIALIZACION EN ANESTESIOLOGIA,Entre 6 y 9 SMMLV,86,18.61
ESPECIALIZACION EN ANESTESIOLOGIA,Entre 4 y 6 SMMLV,41,8.87
ESPECIALIZACION EN ANESTESIOLOGIA,"Entre 1 y 1,5 SMMLV",28,6.06
ESPECIALIZACION EN ANESTESIOLOGIA,"Entre 2,5 y 4 SMMLV",28,6.06
ESPECIALIZACION EN ANESTESIOLOGIA,"Entre 1,5 y 2,5 SMMLV",20,4.33
ESPECIALIZACION EN ANESTESIOLOGIA,1 SMMLV,5,1.08
ESPECIALIZACION EN ANESTESIOLOGIA CARDIOVASCULAR,Más de 9 SMMLV,5,55.56
ESPECIALIZACION EN ANESTESIOLOGIA CARDIOVASCULAR,"Entre 1 y 1,5 SMMLV",2,22.22
ESPECIALIZACION EN ANESTESIOLOGIA CARDIOVASCULAR,"Entre 1,5 y 2,5 SMMLV",2,22.22
ESPECIALIZACION EN ANESTESIOLOGIA Y MEDICINA PERIOPERATORIA,Más de 9 SMMLV,16,64.0
ESPECIALIZACION EN ANESTESIOLOGIA Y MEDICINA PERIOPERATORIA,Entre 6 y 9 SMMLV,5,20.0
ESPECIALIZACION EN ANESTESIOLOGIA Y MEDICINA PERIOPERATORIA,"Entre 2,5 y 4 SMMLV",2,8.0
ESPECIALIZACION EN ANESTESIOLOGIA Y MEDICINA PERIOPERATORIA,"Entre 1 y 1,5 SMMLV",1,4.0
ESPECIALIZACION EN ANESTESIOLOGIA Y MEDICINA PERIOPERATORIA,"Entre 1,5 y 2,5 SMMLV",1,4.0
ESPECIALIZACION EN ANESTESIOLOGIA Y REANIMACION,Más de 9 SMMLV,194,62.18
ESPECIALIZACION EN ANESTESIOLOGIA Y REANIMACION,Entre 6 y 9 SMMLV,45,14.42
ESPECIALIZACION EN ANESTESIOLOGIA Y REANIMACION,Entre 4 y 6 SMMLV,30,9.62
ESPECIALIZACION EN ANESTESIOLOGIA Y REANIMACION,"Entre 1 y 1,5 SMMLV",17,5.45
ESPECIALIZACION EN ANESTESIOLOGIA Y REANIMACION,"Entre 1,5 y 2,5 SMMLV",13,4.17
ESPECIALIZACION EN ANESTESIOLOGIA Y REANIMACION,"Entre 2,5 y 4 SMMLV",11,3.53
ESPECIALIZACION EN ANESTESIOLOGIA Y REANIMACION,1 SMMLV,2,0.64
ESPECIALIZACION EN ANESTESIOLOGIA Y REANIMACI¿N,Entre 4 y 6 SMMLV,1,50.0
ESPECIALIZACION EN ANESTESIOLOGIA Y REANIMACI¿N,Entre 6 y 9 SMMLV,1,50.0
ESPECIALIZACION EN ANGIOLOGIA CLINICA Y LABORATORIO VASCULAR,Más de 9 SMMLV,2,100.0
ESPECIALIZACION EN ANIMACION,"Entre 2,5 y 4 SMMLV",21,34.43
ESPECIALIZACION EN ANIMACION,"Entre 1,5 y 2,5 SMMLV",15,24.59
ESPECIALIZACION EN ANIMACION,Entre 4 y 6 SMMLV,12,19.67
ESPECIALIZACION EN ANIMACION,Entre 6 y 9 SMMLV,4,6.56
ESPECIALIZACION EN ANIMACION,1 SMMLV,3,4.92
ESPECIALIZACION EN ANIMACION,"Entre 1 y 1,5 SMMLV",3,4.92
ESPECIALIZACION EN ANIMACION,Más de 9 SMMLV,3,4.92
ESPECIALIZACION EN ANIMACION 3D PARA ENTORNOS TRANSMEDIA,"Entre 1,5 y 2,5 SMMLV",2,28.57
ESPECIALIZACION EN ANIMACION 3D PARA ENTORNOS TRANSMEDIA,1 SMMLV,1,14.29
ESPECIALIZACION EN ANIMACION 3D PARA ENTORNOS TRANSMEDIA,"Entre 1 y 1,5 SMMLV",1,14.29
ESPECIALIZACION EN ANIMACION 3D PARA ENTORNOS TRANSMEDIA,"Entre 2,5 y 4 SMMLV",1,14.29
ESPECIALIZACION EN ANIMACION 3D PARA ENTORNOS TRANSMEDIA,Entre 4 y 6 SMMLV,1,14.29
ESPECIALIZACION EN ANIMACION 3D PARA ENTORNOS TRANSMEDIA,Entre 6 y 9 SMMLV,1,14.29
ESPECIALIZACION EN ANIMACION SOCIOCULTURAL Y PEDAGOGIA SOCIAL,Entre 4 y 6 SMMLV,4,57.14
ESPECIALIZACION EN ANIMACION SOCIOCULTURAL Y PEDAGOGIA SOCIAL,"Entre 2,5 y 4 SMMLV",2,28.57
ESPECIALIZACION EN ANIMACION SOCIOCULTURAL Y PEDAGOGIA SOCIAL,"Entre 1,5 y 2,5 SMMLV",1,14.29
ESPECIALIZACION EN ANTROPOLOGIA FORENSE,Entre 6 y 9 SMMLV,10,47.62
ESPECIALIZACION EN ANTROPOLOGIA FORENSE,"Entre 2,5 y 4 SMMLV",3,14.29
ESPECIALIZACION EN ANTROPOLOGIA FORENSE,Más de 9 SMMLV,3,14.29
ESPECIALIZACION EN ANTROPOLOGIA FORENSE,"Entre 1 y 1,5 SMMLV",2,9.52
ESPECIALIZACION EN ANTROPOLOGIA FORENSE,Entre 4 y 6 SMMLV,2,9.52
ESPECIALIZACION EN ANTROPOLOGIA FORENSE,"Entre 1,5 y 2,5 SMMLV",1,4.76
ESPECIALIZACION EN ANTROPOLOGIA JURIDICA,Entre 6 y 9 SMMLV,1,100.0
ESPECIALIZACION EN APLICACION DE TIC PARA LA ENSEÑANZA,"Entre 2,5 y 4 SMMLV",2591,60.44
ESPECIALIZACION EN APLICACION DE TIC PARA LA ENSEÑANZA,Entre 4 y 6 SMMLV,1039,24.24
ESPECIALIZACION EN APLICACION DE TIC PARA LA ENSEÑANZA,"Entre 1,5 y 2,5 SMMLV",364,8.49
ESPECIALIZACION EN APLICACION DE TIC PARA LA ENSEÑANZA,"Entre 1 y 1,5 SMMLV",110,2.57
ESPECIALIZACION EN APLICACION DE TIC PARA LA ENSEÑANZA,Entre 6 y 9 SMMLV,99,2.31
ESPECIALIZACION EN APLICACION DE TIC PARA LA ENSEÑANZA,1 SMMLV,72,1.68
ESPECIALIZACION EN APLICACION DE TIC PARA LA ENSEÑANZA,Más de 9 SMMLV,12,0.28
ESPECIALIZACION EN APLICACION Y TECNOLOGIA DE DRONES,1 SMMLV,1,100.0
ESPECIALIZACION EN APLICACIONES TECNOLOGICAS DE LOS MATERIALES,Entre 4 y 6 SMMLV,1,100.0
ESPECIALIZACION EN APRENDIZAJE ESCOLAR Y SUS DIFICULTADES,Entre 4 y 6 SMMLV,313,68.34
ESPECIALIZACION EN APRENDIZAJE ESCOLAR Y SUS DIFICULTADES,"Entre 2,5 y 4 SMMLV",94,20.52
ESPECIALIZACION EN APRENDIZAJE ESCOLAR Y SUS DIFICULTADES,Entre 6 y 9 SMMLV,19,4.15
ESPECIALIZACION EN APRENDIZAJE ESCOLAR Y SUS DIFICULTADES,"Entre 1,5 y 2,5 SMMLV",16,3.49
ESPECIALIZACION EN APRENDIZAJE ESCOLAR Y SUS DIFICULTADES,"Entre 1 y 1,5 SMMLV",11,2.4
ESPECIALIZACION EN APRENDIZAJE ESCOLAR Y SUS DIFICULTADES,1 SMMLV,3,0.66
ESPECIALIZACION EN APRENDIZAJE ESCOLAR Y SUS DIFICULTADES,Más de 9 SMMLV,2,0.44
ESPECIALIZACION EN APROVECHAMIENTO DE RECURSOS HIDRAULICOS,Entre 4 y 6 SMMLV,40,30.3
ESPECIALIZACION EN APROVECHAMIENTO DE RECURSOS HIDRAULICOS,"Entre 2,5 y 4 SMMLV",37,28.03
ESPECIALIZACION EN APROVECHAMIENTO DE RECURSOS HIDRAULICOS,Entre 6 y 9 SMMLV,22,16.67
ESPECIALIZACION EN APROVECHAMIENTO DE RECURSOS HIDRAULICOS,Más de 9 SMMLV,13,9.85
ESPECIALIZACION EN APROVECHAMIENTO DE RECURSOS HIDRAULICOS,"Entre 1,5 y 2,5 SMMLV",10,7.58
ESPECIALIZACION EN APROVECHAMIENTO DE RECURSOS HIDRAULICOS,"Entre 1 y 1,5 SMMLV",7,5.3
ESPECIALIZACION EN APROVECHAMIENTO DE RECURSOS HIDRAULICOS,1 SMMLV,3,2.27
ESPECIALIZACION EN ARBITRAJE,"Entre 2,5 y 4 SMMLV",2,28.57
ESPECIALIZACION EN ARBITRAJE,Más de 9 SMMLV,2,28.57
ESPECIALIZACION EN ARBITRAJE,"Entre 1 y 1,5 SMMLV",1,14.29
ESPECIALIZACION EN ARBITRAJE,"Entre 1,5 y 2,5 SMMLV",1,14.29
ESPECIALIZACION EN ARBITRAJE,Entre 4 y 6 SMMLV,1,14.29
ESPECIALIZACION EN ARBITRAMENTO,1 SMMLV,1,50.0
ESPECIALIZACION EN ARBITRAMENTO,Más de 9 SMMLV,1,50.0
ESPECIALIZACION EN ARCHIVISTICA,"Entre 2,5 y 4 SMMLV",55,32.93
ESPECIALIZACION EN ARCHIVISTICA,Entre 4 y 6 SMMLV,39,23.35
ESPECIALIZACION EN ARCHIVISTICA,"Entre 1,5 y 2,5 SMMLV",27,16.17
ESPECIALIZACION EN ARCHIVISTICA,Entre 6 y 9 SMMLV,24,14.37
ESPECIALIZACION EN ARCHIVISTICA,"Entre 1 y 1,5 SMMLV",10,5.99
ESPECIALIZACION EN ARCHIVISTICA,Más de 9 SMMLV,9,5.39
ESPECIALIZACION EN ARCHIVISTICA,1 SMMLV,3,1.8
ESPECIALIZACION EN ARQUEOLOGIA,"Entre 2,5 y 4 SMMLV",14,36.84
ESPECIALIZACION EN ARQUEOLOGIA,Entre 4 y 6 SMMLV,9,23.68
ESPECIALIZACION EN ARQUEOLOGIA,Entre 6 y 9 SMMLV,7,18.42
ESPECIALIZACION EN ARQUEOLOGIA,Más de 9 SMMLV,3,7.89
ESPECIALIZACION EN ARQUEOLOGIA,"Entre 1 y 1,5 SMMLV",2,5.26
ESPECIALIZACION EN ARQUEOLOGIA,"Entre 1,5 y 2,5 SMMLV",2,5.26
ESPECIALIZACION EN ARQUEOLOGIA,1 SMMLV,1,2.63
ESPECIALIZACION EN ARQUITECTURA BIOCLIMATICA,"Entre 1 y 1,5 SMMLV",4,57.14
ESPECIALIZACION EN ARQUITECTURA BIOCLIMATICA,"Entre 1,5 y 2,5 SMMLV",1,14.29
ESPECIALIZACION EN ARQUITECTURA BIOCLIMATICA,"Entre 2,5 y 4 SMMLV",1,14.29
ESPECIALIZACION EN ARQUITECTURA BIOCLIMATICA,Entre 4 y 6 SMMLV,1,14.29
ESPECIALIZACION EN ARQUITECTURA EMPRESARIAL DE SOFTWARE,Más de 9 SMMLV,305,54.95
ESPECIALIZACION EN ARQUITECTURA EMPRESARIAL DE SOFTWARE,Entre 6 y 9 SMMLV,169,30.45
ESPECIALIZACION EN ARQUITECTURA EMPRESARIAL DE SOFTWARE,Entre 4 y 6 SMMLV,59,10.63
ESPECIALIZACION EN ARQUITECTURA EMPRESARIAL DE SOFTWARE,"Entre 2,5 y 4 SMMLV",13,2.34
ESPECIALIZACION EN ARQUITECTURA EMPRESARIAL DE SOFTWARE,"Entre 1 y 1,5 SMMLV",4,0.72
ESPECIALIZACION EN ARQUITECTURA EMPRESARIAL DE SOFTWARE,"Entre 1,5 y 2,5 SMMLV",3,0.54
ESPECIALIZACION EN ARQUITECTURA EMPRESARIAL DE SOFTWARE,1 SMMLV,2,0.36
ESPECIALIZACION EN ARQUITECTURA Y URBANISMO BIOCLIMATICO,"Entre 1 y 1,5 SMMLV",13,27.08
ESPECIALIZACION EN ARQUITECTURA Y URBANISMO BIOCLIMATICO,"Entre 2,5 y 4 SMMLV",12,25.0
ESPECIALIZACION EN ARQUITECTURA Y URBANISMO BIOCLIMATICO,Entre 4 y 6 SMMLV,9,18.75
ESPECIALIZACION EN ARQUITECTURA Y URBANISMO BIOCLIMATICO,"Entre 1,5 y 2,5 SMMLV",6,12.5
ESPECIALIZACION EN ARQUITECTURA Y URBANISMO BIOCLIMATICO,1 SMMLV,4,8.33
ESPECIALIZACION EN ARQUITECTURA Y URBANISMO BIOCLIMATICO,Entre 6 y 9 SMMLV,2,4.17
ESPECIALIZACION EN ARQUITECTURA Y URBANISMO BIOCLIMATICO,Más de 9 SMMLV,2,4.17
ESPECIALIZACION EN ARTES,Entre 4 y 6 SMMLV,7,43.75
ESPECIALIZACION EN ARTES,"Entre 2,5 y 4 SMMLV",5,31.25
ESPECIALIZACION EN ARTES,"Entre 1 y 1,5 SMMLV",1,6.25
ESPECIALIZACION EN ARTES,"Entre 1,5 y 2,5 SMMLV",1,6.25
ESPECIALIZACION EN ARTES,Entre 6 y 9 SMMLV,1,6.25
ESPECIALIZACION EN ARTES,Más de 9 SMMLV,1,6.25
ESPECIALIZACION EN ARTROSCOPIA Y CIRUGIA DE RODILLA,Más de 9 SMMLV,3,33.33
ESPECIALIZACION EN ARTROSCOPIA Y CIRUGIA DE RODILLA,Entre 6 y 9 SMMLV,2,22.22
ESPECIALIZACION EN ARTROSCOPIA Y CIRUGIA DE RODILLA,1 SMMLV,1,11.11
ESPECIALIZACION EN ARTROSCOPIA Y CIRUGIA DE RODILLA,"Entre 1 y 1,5 SMMLV",1,11.11
ESPECIALIZACION EN ARTROSCOPIA Y CIRUGIA DE RODILLA,"Entre 1,5 y 2,5 SMMLV",1,11.11
ESPECIALIZACION EN ARTROSCOPIA Y CIRUGIA DE RODILLA,Entre 4 y 6 SMMLV,1,11.11
ESPECIALIZACION EN ASEGURAMIENTO DE LA CALIDAD,"Entre 2,5 y 4 SMMLV",23,26.44
ESPECIALIZACION EN ASEGURAMIENTO DE LA CALIDAD,Entre 6 y 9 SMMLV,20,22.99
ESPECIALIZACION EN ASEGURAMIENTO DE LA CALIDAD,Entre 4 y 6 SMMLV,19,21.84
ESPECIALIZACION EN ASEGURAMIENTO DE LA CALIDAD,"Entre 1,5 y 2,5 SMMLV",9,10.34
ESPECIALIZACION EN ASEGURAMIENTO DE LA CALIDAD,"Entre 1 y 1,5 SMMLV",7,8.05
ESPECIALIZACION EN ASEGURAMIENTO DE LA CALIDAD,1 SMMLV,5,5.75
ESPECIALIZACION EN ASEGURAMIENTO DE LA CALIDAD,Más de 9 SMMLV,4,4.6
ESPECIALIZACION EN ASEGURAMIENTO DE LA CALIDAD E INOCUIDAD AGROALIMENTARIA,"Entre 2,5 y 4 SMMLV",10,66.67
ESPECIALIZACION EN ASEGURAMIENTO DE LA CALIDAD E INOCUIDAD AGROALIMENTARIA,"Entre 1 y 1,5 SMMLV",4,26.67
ESPECIALIZACION EN ASEGURAMIENTO DE LA CALIDAD E INOCUIDAD AGROALIMENTARIA,Entre 6 y 9 SMMLV,1,6.67
ESPECIALIZACION EN ASEGURAMIENTO Y CONTROL INTERNO,Entre 4 y 6 SMMLV,268,30.08
ESPECIALIZACION EN ASEGURAMIENTO Y CONTROL INTERNO,Entre 6 y 9 SMMLV,246,27.61
ESPECIALIZACION EN ASEGURAMIENTO Y CONTROL INTERNO,Más de 9 SMMLV,165,18.52
ESPECIALIZACION EN ASEGURAMIENTO Y CONTROL INTERNO,"Entre 2,5 y 4 SMMLV",156,17.51
ESPECIALIZACION EN ASEGURAMIENTO Y CONTROL INTERNO,"Entre 1,5 y 2,5 SMMLV",36,4.04
ESPECIALIZACION EN ASEGURAMIENTO Y CONTROL INTERNO,"Entre 1 y 1,5 SMMLV",13,1.46
ESPECIALIZACION EN ASEGURAMIENTO Y CONTROL INTERNO,1 SMMLV,7,0.79
ESPECIALIZACION EN ASESORIA Y CONSULTORIA DE ORGANIZACIONES,Entre 6 y 9 SMMLV,6,37.5
ESPECIALIZACION EN ASESORIA Y CONSULTORIA DE ORGANIZACIONES,Más de 9 SMMLV,4,25.0
ESPECIALIZACION EN ASESORIA Y CONSULTORIA DE ORGANIZACIONES,"Entre 2,5 y 4 SMMLV",3,18.75
ESPECIALIZACION EN ASESORIA Y CONSULTORIA DE ORGANIZACIONES,Entre 4 y 6 SMMLV,2,12.5
ESPECIALIZACION EN ASESORIA Y CONSULTORIA DE ORGANIZACIONES,"Entre 1,5 y 2,5 SMMLV",1,6.25
ESPECIALIZACION EN ASFALTOS Y PAVIMENTOS,Entre 6 y 9 SMMLV,3,42.86
ESPECIALIZACION EN ASFALTOS Y PAVIMENTOS,Entre 4 y 6 SMMLV,2,28.57
ESPECIALIZACION EN ASFALTOS Y PAVIMENTOS,"Entre 1 y 1,5 SMMLV",1,14.29
ESPECIALIZACION EN ASFALTOS Y PAVIMENTOS,Más de 9 SMMLV,1,14.29
ESPECIALIZACION EN ASTRONOMIA,Entre 6 y 9 SMMLV,4,50.0
ESPECIALIZACION EN ASTRONOMIA,Más de 9 SMMLV,2,25.0
ESPECIALIZACION EN ASTRONOMIA,"Entre 1 y 1,5 SMMLV",1,12.5
ESPECIALIZACION EN ASTRONOMIA,Entre 4 y 6 SMMLV,1,12.5
ESPECIALIZACION EN ATENCION DE ENFERMERA EN QUIROFANOS Y CENTRAL DE ESTERILIZACION,"Entre 2,5 y 4 SMMLV",4,40.0
ESPECIALIZACION EN ATENCION DE ENFERMERA EN QUIROFANOS Y CENTRAL DE ESTERILIZACION,Entre 4 y 6 SMMLV,4,40.0
ESPECIALIZACION EN ATENCION DE ENFERMERA EN QUIROFANOS Y CENTRAL DE ESTERILIZACION,"Entre 1 y 1,5 SMMLV",2,20.0
ESPECIALIZACION EN ATENCION DE ENFERMERIA EN CUIDADO CRITICO,"Entre 2,5 y 4 SMMLV",36,44.44
ESPECIALIZACION EN ATENCION DE ENFERMERIA EN CUIDADO CRITICO,Entre 4 y 6 SMMLV,26,32.1
ESPECIALIZACION EN ATENCION DE ENFERMERIA EN CUIDADO CRITICO,"Entre 1 y 1,5 SMMLV",6,7.41
ESPECIALIZACION EN ATENCION DE ENFERMERIA EN CUIDADO CRITICO,Entre 6 y 9 SMMLV,6,7.41
ESPECIALIZACION EN ATENCION DE ENFERMERIA EN CUIDADO CRITICO,Más de 9 SMMLV,4,4.94
ESPECIALIZACION EN ATENCION DE ENFERMERIA EN CUIDADO CRITICO,"Entre 1,5 y 2,5 SMMLV",2,2.47
ESPECIALIZACION EN ATENCION DE ENFERMERIA EN CUIDADO CRITICO,1 SMMLV,1,1.23
ESPECIALIZACION EN ATENCION DE ENFERMERIA EN URGENCIAS,"Entre 2,5 y 4 SMMLV",3,75.0
ESPECIALIZACION EN ATENCION DE ENFERMERIA EN URGENCIAS,"Entre 1 y 1,5 SMMLV",1,25.0
ESPECIALIZACION EN ATENCION INTEGRAL A LA PRIMERA INFANCIA,"Entre 2,5 y 4 SMMLV",3,50.0
ESPECIALIZACION EN ATENCION INTEGRAL A LA PRIMERA INFANCIA,"Entre 1 y 1,5 SMMLV",1,16.67
ESPECIALIZACION EN ATENCION INTEGRAL A LA PRIMERA INFANCIA,"Entre 1,5 y 2,5 SMMLV",1,16.67
ESPECIALIZACION EN ATENCION INTEGRAL A LA PRIMERA INFANCIA,Entre 4 y 6 SMMLV,1,16.67
ESPECIALIZACION EN ATENCION PSICOSOCIAL A VICTIMAS Y SOBREVIVIENTES,"Entre 1,5 y 2,5 SMMLV",5,26.32
ESPECIALIZACION EN ATENCION PSICOSOCIAL A VICTIMAS Y SOBREVIVIENTES,"Entre 2,5 y 4 SMMLV",5,26.32
ESPECIALIZACION EN ATENCION PSICOSOCIAL A VICTIMAS Y SOBREVIVIENTES,"Entre 1 y 1,5 SMMLV",4,21.05
ESPECIALIZACION EN ATENCION PSICOSOCIAL A VICTIMAS Y SOBREVIVIENTES,Entre 4 y 6 SMMLV,3,15.79
ESPECIALIZACION EN ATENCION PSICOSOCIAL A VICTIMAS Y SOBREVIVIENTES,Entre 6 y 9 SMMLV,2,10.53
ESPECIALIZACION EN ATENCION Y EDUCACION SOCIAL A LA FAMILIA,"Entre 2,5 y 4 SMMLV",37,45.68
ESPECIALIZACION EN ATENCION Y EDUCACION SOCIAL A LA FAMILIA,Entre 4 y 6 SMMLV,22,27.16
ESPECIALIZACION EN ATENCION Y EDUCACION SOCIAL A LA FAMILIA,"Entre 1,5 y 2,5 SMMLV",14,17.28
ESPECIALIZACION EN ATENCION Y EDUCACION SOCIAL A LA FAMILIA,1 SMMLV,4,4.94
ESPECIALIZACION EN ATENCION Y EDUCACION SOCIAL A LA FAMILIA,"Entre 1 y 1,5 SMMLV",2,2.47
ESPECIALIZACION EN ATENCION Y EDUCACION SOCIAL A LA FAMILIA,Entre 6 y 9 SMMLV,2,2.47
ESPECIALIZACION EN AUDIOLOGIA,"Entre 2,5 y 4 SMMLV",137,29.15
ESPECIALIZACION EN AUDIOLOGIA,"Entre 1,5 y 2,5 SMMLV",118,25.11
ESPECIALIZACION EN AUDIOLOGIA,Entre 4 y 6 SMMLV,88,18.72
ESPECIALIZACION EN AUDIOLOGIA,"Entre 1 y 1,5 SMMLV",74,15.74
ESPECIALIZACION EN AUDIOLOGIA,Entre 6 y 9 SMMLV,30,6.38
ESPECIALIZACION EN AUDIOLOGIA,1 SMMLV,14,2.98
ESPECIALIZACION EN AUDIOLOGIA,Más de 9 SMMLV,9,1.91
ESPECIALIZACION EN AUDITORIA A LOS SISTEMAS DE INFORMACION,Entre 4 y 6 SMMLV,30,28.04
ESPECIALIZACION EN AUDITORIA A LOS SISTEMAS DE INFORMACION,"Entre 2,5 y 4 SMMLV",27,25.23
ESPECIALIZACION EN AUDITORIA A LOS SISTEMAS DE INFORMACION,Entre 6 y 9 SMMLV,23,21.5
ESPECIALIZACION EN AUDITORIA A LOS SISTEMAS DE INFORMACION,"Entre 1,5 y 2,5 SMMLV",10,9.35
ESPECIALIZACION EN AUDITORIA A LOS SISTEMAS DE INFORMACION,Más de 9 SMMLV,8,7.48
ESPECIALIZACION EN AUDITORIA A LOS SISTEMAS DE INFORMACION,"Entre 1 y 1,5 SMMLV",6,5.61
ESPECIALIZACION EN AUDITORIA A LOS SISTEMAS DE INFORMACION,1 SMMLV,3,2.8
ESPECIALIZACION EN AUDITORIA AMBIENTAL,Entre 4 y 6 SMMLV,2,50.0
ESPECIALIZACION EN AUDITORIA AMBIENTAL,"Entre 2,5 y 4 SMMLV",1,25.0
ESPECIALIZACION EN AUDITORIA AMBIENTAL,Entre 6 y 9 SMMLV,1,25.0
ESPECIALIZACION EN AUDITORIA CLINICA,"Entre 2,5 y 4 SMMLV",43,34.96
ESPECIALIZACION EN AUDITORIA CLINICA,Entre 4 y 6 SMMLV,28,22.76
ESPECIALIZACION EN AUDITORIA CLINICA,"Entre 1,5 y 2,5 SMMLV",19,15.45
ESPECIALIZACION EN AUDITORIA CLINICA,Entre 6 y 9 SMMLV,14,11.38
ESPECIALIZACION EN AUDITORIA CLINICA,"Entre 1 y 1,5 SMMLV",9,7.32
ESPECIALIZACION EN AUDITORIA CLINICA,1 SMMLV,5,4.07
ESPECIALIZACION EN AUDITORIA CLINICA,Más de 9 SMMLV,5,4.07
ESPECIALIZACION EN AUDITORIA DE CONTROL INTERNO Y ASEGURAMIENTO,"Entre 2,5 y 4 SMMLV",111,31.71
ESPECIALIZACION EN AUDITORIA DE CONTROL INTERNO Y ASEGURAMIENTO,Entre 4 y 6 SMMLV,108,30.86
ESPECIALIZACION EN AUDITORIA DE CONTROL INTERNO Y ASEGURAMIENTO,Entre 6 y 9 SMMLV,50,14.29
ESPECIALIZACION EN AUDITORIA DE CONTROL INTERNO Y ASEGURAMIENTO,"Entre 1,5 y 2,5 SMMLV",40,11.43
ESPECIALIZACION EN AUDITORIA DE CONTROL INTERNO Y ASEGURAMIENTO,Más de 9 SMMLV,19,5.43
ESPECIALIZACION EN AUDITORIA DE CONTROL INTERNO Y ASEGURAMIENTO,"Entre 1 y 1,5 SMMLV",18,5.14
ESPECIALIZACION EN AUDITORIA DE CONTROL INTERNO Y ASEGURAMIENTO,1 SMMLV,4,1.14
ESPECIALIZACION EN AUDITORIA DE LA CALIDAD EN SALUD,"Entre 2,5 y 4 SMMLV",80,32.79
ESPECIALIZACION EN AUDITORIA DE LA CALIDAD EN SALUD,"Entre 1,5 y 2,5 SMMLV",54,22.13
ESPECIALIZACION EN AUDITORIA DE LA CALIDAD EN SALUD,Entre 4 y 6 SMMLV,44,18.03
ESPECIALIZACION EN AUDITORIA DE LA CALIDAD EN SALUD,Entre 6 y 9 SMMLV,27,11.07
ESPECIALIZACION EN AUDITORIA DE LA CALIDAD EN SALUD,"Entre 1 y 1,5 SMMLV",22,9.02
ESPECIALIZACION EN AUDITORIA DE LA CALIDAD EN SALUD,Más de 9 SMMLV,14,5.74
ESPECIALIZACION EN AUDITORIA DE LA CALIDAD EN SALUD,1 SMMLV,3,1.23
ESPECIALIZACION EN AUDITORIA DE PROGRAMAS DE PREVENCION DE RIESGOS PROFESIONALES,Entre 6 y 9 SMMLV,8,38.1
ESPECIALIZACION EN AUDITORIA DE PROGRAMAS DE PREVENCION DE RIESGOS PROFESIONALES,Entre 4 y 6 SMMLV,5,23.81
ESPECIALIZACION EN AUDITORIA DE PROGRAMAS DE PREVENCION DE RIESGOS PROFESIONALES,Más de 9 SMMLV,4,19.05
ESPECIALIZACION EN AUDITORIA DE PROGRAMAS DE PREVENCION DE RIESGOS PROFESIONALES,"Entre 2,5 y 4 SMMLV",2,9.52
ESPECIALIZACION EN AUDITORIA DE PROGRAMAS DE PREVENCION DE RIESGOS PROFESIONALES,"Entre 1 y 1,5 SMMLV",1,4.76
ESPECIALIZACION EN AUDITORIA DE PROGRAMAS DE PREVENCION DE RIESGOS PROFESIONALES,"Entre 1,5 y 2,5 SMMLV",1,4.76
ESPECIALIZACION EN AUDITORIA DE SALUD,"Entre 2,5 y 4 SMMLV",412,36.65
ESPECIALIZACION EN AUDITORIA DE SALUD,Entre 4 y 6 SMMLV,296,26.33
ESPECIALIZACION EN AUDITORIA DE SALUD,Entre 6 y 9 SMMLV,155,13.79
ESPECIALIZACION EN AUDITORIA DE SALUD,"Entre 1,5 y 2,5 SMMLV",119,10.59
ESPECIALIZACION EN AUDITORIA DE SALUD,Más de 9 SMMLV,67,5.96
ESPECIALIZACION EN AUDITORIA DE SALUD,"Entre 1 y 1,5 SMMLV",47,4.18
ESPECIALIZACION EN AUDITORIA DE SALUD,1 SMMLV,28,2.49
ESPECIALIZACION EN AUDITORIA DE SERVICIOS DE SALUD,"Entre 2,5 y 4 SMMLV",304,36.89
ESPECIALIZACION EN AUDITORIA DE SERVICIOS DE SALUD,Entre 4 y 6 SMMLV,156,18.93
ESPECIALIZACION EN AUDITORIA DE SERVICIOS DE SALUD,"Entre 1,5 y 2,5 SMMLV",136,16.5
ESPECIALIZACION EN AUDITORIA DE SERVICIOS DE SALUD,"Entre 1 y 1,5 SMMLV",93,11.29
