ActividadEconomicaDesc,total_cotizantes,total_cotizaciones
5111 - Transporte Aéreo Nacional De Pasajeros,230423.451,231519.166
"1101 - Destilación, Rectificación Y Mezcla De Bebidas Alcohólicas",230367.374,230541.386
7820 - Actividades De Agencias De Empleo Temporal,229410.67799999999,230236.378
6511 - Seguros Generales,226506.399,226572.045
6120 - Actividades De Telecomunicaciones Inalámbricas,225393.502,225484.742
6612 - Corretaje De Valores Y De Contratos De Productos Básicos,224841.002,224896.09
"4641 - Comercio Al Por Mayor De Productos Textiles, Productos Confeccionados Para Uso Doméstico",224698.801,224306.43
"6499 - Otras Actividades De Servicio Financiero, Excepto Las De Seguros Y Pensiones N.C.P.",224573.453,224145.521
4632 - Comercio Al Por Mayor De Bebidas Y Tabaco,224064.272,224322.646
0145 - Cría De Aves De Corral,224013.271,224492.361
6492 - Actividades Financieras De Fondos De Empleados Y Otras Formas Asociativas Del Sector Solidario,223275.227,223499.965
2221 - Fabricación De Formas Básicas De Plástico,222981.033,223323.723
7710 - Alquiler Y Arrendamiento De Vehículos Automotores,222589.916,222708.104
"4541 - Comercio De Motocicletas Y De Sus Partes, Piezas Y Accesorios",221124.714,221386.655
0899 - Extracción De Otros Minerales No Metálicos N.C.P.,220551.076,220594.121
8710 - Actividades De Atención Residencial Medicalizada De Tipo General,220519.283,220657.286
6531 - Régimen De Prima Media Con Prestación Definida (Rpm),219687.099,219692.099
7911 - Actividades De Las Agencias De Viaje,219613.924,219857.723
"1521 - Fabricación De Calzado De Cuero Y Piel, Con Cualquier Tipo De Suela",219414.038,219437.375
"5911 - Actividades De Producción De Películas Cinematográficas, Videos, Programas, Anuncios Y Comerciales De Televisión",219321.493,219535.531
9321 - Actividades De Parques De Atracciones Y Parques Temáticos,217505.366,217573.468
6494 - Otras Actividades De Distribución De Fondos,216772.071,217145.08
0729 - Extracción De Otros Minerales Metalíferos No Ferrosos N.C.P.,216393.033,216906.78
3511 - Generación De Energía Eléctrica,215172.146,215219.214
1811 - Actividades De Impresión,214894.82200000001,215075.009
"0130 - Propagación De Plantas (Actividades De Los Viveros, Excepto Viveros Forestales)",214768.41,215005.044
5320 - Actividades De Mensajería,212796.355,212887.375
3312 - Mantenimiento Y Reparación Especializado De Maquinaria Y Equipo,209201.313,209356.005
5811 - Edición De Libros,207304.711,208009.028
4644 - Comercio Al Por Mayor De Aparatos Y Equipo De Uso Doméstico,207195.124,207272.331
3520 - Producción De Gas; Distribución De Combustibles Gaseosos Por Tuberías,206648.567,206862.763
4791 - Comercio Al Por Menor Realizado A Través De Internet,206113.221,205246.327
"4761 - Comercio Al Por Menor De Libros, Periódicos, Materiales Y Artículos De Papelería Y Escritorio, En Establecimientos Especializados",205147.321,205554.726
5022 - Transporte Fluvial De Carga,205063.914,205135.965
6421 - Actividades De Las Corporaciones Financieras,204362.519,204401.652
8020 - Actividades De Servicios De Sistemas De Seguridad,203485.209,203572.786
8424 - Administración De Justicia,202807.513,203571.125
"1082 - Elaboración De Cacao, Chocolate Y Productos De Confitería",202526.61,202645.625
6130 - Actividades De Telecomunicación Satelital,201746.883,201838.976
"5813 - Edición De Periódicos, Revistas Y Otras Publicaciones Periódicas",201599.543,202236.56
"2930 - Fabricación De Partes, Piezas (Autopartes) Y Accesorios (Lujos) Para Vehículos Automotores",201381.887,199961.348
1709 - Fabricación De Otros Artículos De Papel Y Cartón,201094.607,201237.464
1090 - Elaboración De Alimentos Preparados Para Animales,200668.473,200757.592
0150 - Explotación Mixta (Agrícola Y Pecuaria),200231.474,199427.394
3311 - Mantenimiento Y Reparación Especializado De Productos Elaborados En Metal,200190.466,199532.803
"3315 - Mantenimiento Y Reparación Especializado De Equipo De Transporte, Excepto Los Vehículos Automotores, Motocicletas Y Bicicletas",199558.0,199747.0
"6629 - Evaluación De Riesgos Y Daños, Y Otras Actividades De Servicios Auxiliares",199294.217,199336.332
8121 - Limpieza General Interior De Edificios,198701.095,198899.866
9511 - Mantenimiento Y Reparación De Computadores Y De Equipo Periférico,198579.678,198101.116
4731 - Comercio Al Por Menor De Combustible Para Automotores,198565.57,199398.724
8790 - Otras Actividades De Atención En Instituciones Con Alojamiento,198431.512,198612.642
4642 - Comercio Al Por Mayor De Prendas De Vestir,198237.87,198298.09
"4664 - Comercio Al Por Mayor De Productos Químicos Básicos, Cauchos Y Plásticos En Formas Primarias Y Productos Químicos De Uso Agropecuario",196687.027,197148.35
"4645 - Comercio Al Por Mayor De Productos Farmacéuticos, Medicinales, Cosméticos Y De Tocador",196581.483,196653.567
4774 - Comercio Al Por Menor De Otros Productos Nuevos En Establecimientos Especializados,196268.5,196369.18
2399 - Fabricación De Otros Productos Minerales No Metálicos N.C.P.,196262.919,196313.972
2910 - Fabricación De Vehículos Automotores Y Sus Motores,196095.0,196143.0
"4652 - Comercio Al Por Mayor De Equipo, Partes Y Piezas Electrónicos Y De Telecomunicaciones",196073.797,196115.438
"6431 - Fideicomisos, Fondos Y Entidades Financieras Similares",194568.7,195349.808
"4741 - Comercio Al Por Menor De Computadores, Equipos Periféricos, Programas De Informática Y Equipos De Telecomunicaciones En Establecimientos Especializados",193963.394,193116.447
0510 - Extracción De Hulla (Carbón De Piedra),193491.381,194150.684
4112 - Construcción De Edificios No Residenciales,192537.99,192884.979
8552 - Enseñanza Deportiva Y Recreativa,192407.007,192782.017
6495 - Instituciones Especiales Oficiales,190828.0,190853.0
"5223 - Actividades De Aeropuertos, Servicios De Navegación Aérea Y Demás Actividades Conexas Al Transporte Aéreo",190259.737,190334.825
2029 - Fabricación De Otros Productos Químicos N.C.P.,188541.464,188562.667
0520 - Extracción De Carbón Lignito,187795.489,187919.489
6493 - Actividades De Compra De Cartera O Factoring,187382.0,187468.0
0124 - Cultivo De Caña De Azúcar,187179.998,188153.685
"4661 - Comercio Al Por Mayor De Combustibles Sólidos, Líquidos, Gaseosos Y Productos Conexos",185013.463,185044.809
9603 - Pompas Fúnebres Y Actividades Relacionadas,183379.605,183880.591
6412 - Bancos Comerciales,182670.294,182704.497
1399 - Fabricación De Otros Artículos Textiles N.C.P.,182078.468,182535.778
6820 - Actividades Inmobiliarias Realizadas A Cambio De Una Retribución O Por Contrata,181566.929,181910.824
"1104 - Elaboración De Bebidas No Alcohólicas, Producción De Aguas Minerales Y De Otras Aguas Embotelladas",181180.311,181260.396
"2100 - Fabricación De Productos Farmacéuticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmacéutico",181049.819,181129.119
6020 - Actividades De Programación Y Transmisión De Televisión,180192.828,180550.452
3120 - Fabricación De Colchones Y Somieres,179556.349,179670.5
"2023 - Fabricación De Jabones Y Detergentes, Preparados Para Limpiar Y Pulir; Perfumes Y Preparados De Tocador",179386.889,179415.595
"1020 - Procesamiento Y Conservación De Frutas, Legumbres, Hortalizas Y Tubérculos",179330.699,179388.107
5310 - Actividades Postales Nacionales,179250.092,179405.953
6312 - Portales Web,178816.0,178876.0
2011 - Fabricación De Sustancias Y Productos Químicos Básicos,178509.871,178707.884
"4723 - Comercio Al Por Menor De Carnes (Incluye Aves De Corral), Productos Cárnicos, Pescados Y Productos De Mar, En Establecimientos Especializados",178164.735,178298.729
0722 - Extracción De Oro Y Otros Metales Preciosos,177941.582,177184.403
0121 - Cultivo De Frutas Tropicales Y Subtropicales,176873.518,177438.761
3900 - Actividades De Saneamiento Ambiental Y Otros Servicios De Gestión De Desechos,176684.642,176927.072
3513 - Distribución De Energía Eléctrica,176589.0,176620.0
0910 - Actividades De Apoyo Para La Extracción De Petróleo Y De Gas Natural,175974.944,176002.656
3512 - Transmisión De Energía Eléctrica,175800.649,176026.724
0723 - Extracción De Minerales De Níquel,174762.0,174766.0
3811 - Recolección De Desechos No Peligrosos,174437.525,174573.044
4653 - Comercio Al Por Mayor De Maquinaria Y Equipo Agropecuarios,172973.001,173195.029
"1610 - Aserrado, Acepillado E Impregnación De La Madera",172343.542,172579.786
"0811 - Extracción De Piedra, Arena, Arcillas Comunes, Yeso Y Anhidrita",172320.771,172100.606
4321 - Instalaciones Eléctricas,172052.334,172512.815
2819 - Fabricación De Otros Tipos De Maquinaria Y Equipo De Uso General N.C.P.,171267.99,171385.151
4772 - Comercio Al Por Menor De Todo Tipo De Calzado Y Artículos De Cuero Y Sucedáneos Del Cuero En Establecimientos Especializados.,170489.672,170629.478
3314 - Mantenimiento Y Reparación Especializado De Equipo Eléctrico,170314.889,170476.783
9602 - Peluquería Y Otros Tratamientos De Belleza,169321.682,169674.011
2229 - Fabricación De Artículos De Plástico N.C.P.,168654.106,168708.807
2421 - Industrias Básicas De Metales Preciosos,167781.0,167835.0
4220 - Construcción De Proyectos De Servicio Público,166376.567,166910.999
"2720 - Fabricación De Pilas, Baterías Y Acumuladores Eléctricos",166038.0,166045.0
