rama_ciiu,empleo,periodo,ano,mes,salario_promedio
53,202268.62839328,2025-08,2025,8,1386486.0
55,151314.164031044,2025-08,2025,8,1526251.0
56,1710638.164217154,2025-08,2025,8,1244897.0
58,8085.157709058,2025-08,2025,8,1470552.0
59,26934.537678319,2025-08,2025,8,2857079.0
60,13163.446560781,2025-08,2025,8,3694185.0
61,128959.875773667,2025-08,2025,8,3057323.0
62,189779.717528407,2025-08,2025,8,5688750.0
63,41321.442013159,2025-08,2025,8,2874299.0
64,307167.609751581,2025-08,2025,8,3219905.0
65,139756.262335478,2025-08,2025,8,3195998.0
66,31632.632405838,2025-08,2025,8,3510766.0
68,360141.316890721,2025-08,2025,8,2865551.0
69,292824.000651836,2025-08,2025,8,3300955.0
70,72239.947378059,2025-08,2025,8,5065887.0
71,157517.693111882,2025-08,2025,8,3517315.0
72,7734.737127561,2025-08,2025,8,4037427.0
73,94990.046193812,2025-08,2025,8,2425634.0
74,105158.216117574,2025-08,2025,8,3384886.0
75,48462.693453312,2025-08,2025,8,3276984.0
77,48147.5832293,2025-08,2025,8,2013342.0
78,27730.78686502,2025-08,2025,8,2959151.0
79,45296.088991733,2025-08,2025,8,2368176.0
80,90605.166747685,2025-08,2025,8,2245084.0
81,539189.522743231,2025-08,2025,8,701738.0
82,250888.30566771,2025-08,2025,8,2239985.0
84,966222.2742971629,2025-08,2025,8,3759462.0
85,1023963.175201142,2025-08,2025,8,3277773.0
86,869270.056373654,2025-08,2025,8,3190267.0
87,35121.514578685,2025-08,2025,8,2676248.0
88,132386.488462841,2025-08,2025,8,1332947.0
90,72893.595696656,2025-08,2025,8,3094364.0
91,26494.945087469998,2025-08,2025,8,4498076.0
92,91465.417962599,2025-08,2025,8,1023158.0
93,110321.826709998,2025-08,2025,8,4862345.0
94,159994.7583515563,2025-08,2025,8,2826823.0
95,251159.820959737,2025-08,2025,8,927776.0
96,604541.541933351,2025-08,2025,8,1198806.0
97,774172.191904893,2025-08,2025,8,1190343.0
99,5593.215091284,2025-08,2025,8,2454209.0
1,3267247.541762911,2025-09,2025,9,1132116.0
2,11850.210630333,2025-09,2025,9,1184006.0
3,91843.682655913,2025-09,2025,9,725818.0
5,34985.082264336,2025-09,2025,9,3057629.0
6,21544.994545145,2025-09,2025,9,13990495.0
7,228451.832485766,2025-09,2025,9,1483495.0
