institucion,programa,departamento,MOD_RAZONA_CUANTITAT_PUNT,MOD_COMUNI_ESCRITA_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_INGLES_PUNT,MOD_COMPETEN_CIUDADA_PUNT
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,INGENIERIA ELECTRONICA,BOGOTÁ,161.36363636363637,135.04545454545453,151.86363636363637,155.4090909090909,138.1818181818182
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,INGENIERIA INDUSTRIAL,BOGOTÁ,143.5632183908046,125.64367816091954,138.45977011494253,139.67816091954023,134.8505747126437
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,INGENIERÍA AMBIENTAL,BOGOTÁ,137.3709677419355,125.73387096774194,140.09677419354838,137.46774193548387,134.15322580645162
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,LICENCIATURA EN FILOSOFIA,BOGOTÁ,120.0,145.0,148.0,124.0,163.0
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,LICENCIATURA EN INGLÉS COMO LENGUA EXTRANJERA,BOGOTÁ,128.5,154.66666666666666,133.5,179.33333333333334,131.0
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,LICENCIATURA EN LENGUAS EXTRANJERAS CON ÉNFASIS EN INGLÉS,BOGOTÁ,131.0,300.0,200.0,175.0,162.0
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,LICENCIATURA EN MATEMÁTICAS,BOGOTÁ,142.0,121.0,160.0,119.0,123.5
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,LICENCIATURA EN PEDAGOGIA INFANTIL,BOGOTÁ,125.16666666666667,144.83333333333334,140.25,130.75,129.58333333333334
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,MUSICA,BOGOTÁ,153.0,143.0,138.5,157.75,147.25
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,PSICOLOGIA,BOGOTÁ,126.72043010752688,131.71428571428572,139.3978494623656,134.27173913043478,135.79569892473117
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,QUIMICA,BOGOTÁ,182.0,178.0,165.0,143.0,146.0
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,ZOOTECNIA,BOGOTÁ,151.0,120.4,152.6,141.0,150.4
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,ANTROPOLOGIA,BOGOTÁ,157.0,115.0,205.0,188.0,190.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,ARTES PLASTICAS,BOGOTÁ,178.0,152.0,184.0,208.0,196.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,CIENCIA POLITICA,BOGOTÁ,170.0,254.0,182.5,186.5,261.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,DERECHO,BOGOTÁ,191.0,217.5,196.5,172.0,200.5
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,ECONOMIA,BOGOTÁ,196.0,124.0,197.0,159.0,180.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,ENFERMERIA,BOGOTÁ,190.5,161.5,183.0,193.0,190.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,ESPAÑOL Y FILOLOGIA CLASICA,BOGOTÁ,186.0,129.0,212.0,205.0,177.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,FARMACIA,BOGOTÁ,184.4,171.4,192.0,182.8,195.4
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA AGRICOLA,BOGOTÁ,183.0,134.0,165.0,167.0,160.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA CIVIL,BOGOTÁ,219.6,143.2,188.4,191.8,185.2
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA ELECTRICA,BOGOTÁ,205.0,195.5,176.5,205.0,182.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA ELECTRONICA,BOGOTÁ,215.0,177.0,198.5,197.5,209.5
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA MECANICA,BOGOTÁ,181.0,167.0,207.0,207.0,180.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA MECATRONICA,BOGOTÁ,214.0,125.0,204.0,187.0,194.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA QUIMICA,BOGOTÁ,216.0,159.0,204.0,205.0,193.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,BOGOTÁ,206.0,174.0,163.0,208.0,189.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,MATEMATICAS,BOGOTÁ,225.0,0.0,216.0,211.0,207.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,MEDICINA,BOGOTÁ,205.05555555555554,155.11111111111111,191.16666666666666,192.77777777777777,194.5
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,NUTRICION Y DIETETICA,BOGOTÁ,204.0,146.0,173.0,169.0,191.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,ODONTOLOGIA,BOGOTÁ,180.0,161.0,178.0,186.0,189.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,PSICOLOGIA,BOGOTÁ,190.5,123.5,195.5,197.0,187.5
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,QUIMICA,BOGOTÁ,202.0,133.0,165.0,187.0,172.0
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,SOCIOLOGIA,BOGOTÁ,195.0,142.0,206.0,208.5,224.5
UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,ZOOTECNIA,BOGOTÁ,147.0,126.0,184.0,173.0,188.0
UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES,ARQUITECTURA,CALDAS,183.0,120.0,173.0,208.0,203.0
UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES,INGENIERIA CIVIL,CALDAS,196.5,123.0,181.5,179.0,157.5
UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES,INGENIERIA ELECTRICA,CALDAS,176.0,176.0,184.0,162.0,198.0
UNIVERSIDAD NACIONAL DE COLOMBIA-MEDELLIN,INGENIERIA QUIMICA,ANTIOQUIA,212.0,169.0,190.0,181.0,200.0
UNIVERSIDAD PEDAGOGICA NACIONAL-BOGOTÁ D.C.,LICENCIATURA EN MUSICA,BOGOTÁ,174.0,96.0,153.0,81.0,115.0
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-CHIQUINQUIRA,ADMINISTRACION DE EMPRESAS,BOYACA,141.8,148.1,137.5,141.9,137.0
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-CHIQUINQUIRA,CONTADURIA PUBLICA,BOYACA,136.3125,131.1875,127.875,127.0,123.5
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-DUITAMA,ADMINISTRACION DE EMPRESAS AGROPECUARIAS,BOYACA,136.25,129.3181818181818,134.8181818181818,137.20454545454547,135.27272727272728
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-DUITAMA,ADMINISTRACION INDUSTRIAL,BOYACA,154.0,138.0,152.76,144.92,149.64
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-DUITAMA,ADMINISTRACION TURISTICA Y HOTELERA,BOYACA,149.56666666666666,139.16666666666666,150.08333333333334,161.6,147.01666666666668
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-DUITAMA,DISEÑO INDUSTRIAL,BOYACA,153.65853658536585,134.0,160.0731707317073,161.70731707317074,155.41463414634146
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-DUITAMA,INGENIERIA ELECTROMECANICA,BOYACA,194.45833333333334,142.29166666666666,168.54166666666666,162.5,169.29166666666666
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-DUITAMA,LICENCIATURA EN EDUCACION INDUSTRIAL,BOYACA,149.55555555555554,129.66666666666666,138.44444444444446,151.55555555555554,139.88888888888889
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-DUITAMA,LICENCIATURA EN MATEMATICAS,BOYACA,186.0,118.0,172.0,135.0,187.0
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-DUITAMA,LICENCIATURA EN MATEMATICAS Y ESTADISTICA,BOYACA,179.47368421052633,139.05263157894737,160.05263157894737,155.8421052631579,147.78947368421052
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-DUITAMA,LICENCIATURA EN TECNOLOGIA,BOYACA,120.5,117.25,135.0,130.25,128.0
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-SOGAMOSO,ADMINISTRACION DE EMPRESAS,BOYACA,153.0780487804878,147.6600985221675,150.53658536585365,146.9658536585366,146.83414634146342
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-SOGAMOSO,CONTADURIA PUBLICA,BOYACA,161.06965174129354,138.2,157.19900497512438,150.16915422885572,157.30348258706468
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-SOGAMOSO,FINANZAS Y COMERCIO INTERNACIONAL,BOYACA,165.73563218390805,149.22988505747125,170.71264367816093,180.98850574712642,171.50574712643677
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-SOGAMOSO,INGENIERIA DE MINAS,BOYACA,179.64406779661016,139.82203389830508,161.02542372881356,157.77966101694915,157.9915254237288
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-SOGAMOSO,INGENIERIA ELECTRONICA,BOYACA,177.27272727272728,137.5979381443299,163.54545454545453,161.41414141414143,156.26262626262627
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-SOGAMOSO,INGENIERIA GEOLOGICA,BOYACA,187.01156069364163,146.28235294117647,176.82080924855492,174.21387283236993,169.05780346820808
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-SOGAMOSO,INGENIERIA INDUSTRIAL,BOYACA,187.2185430463576,141.86754966887418,166.48344370860926,159.86754966887418,160.21192052980132
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,ADMINISTRACION DE EMPRESAS,BOYACA,159.75,155.625,152.25,170.875,149.5
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,ADMINISTRACIÓN AGROINDUSTRIAL,BOYACA,131.0,133.0,140.0,117.0,119.0
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,ADMINISTRACIÓN COMERCIAL Y FINANCIERA,BOYACA,133.0,135.11111111111111,129.62962962962962,134.92592592592592,131.8148148148148
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,ADMINISTRACIÓN DE SERVICIOS DE SALUD,BOYACA,139.2962962962963,129.30769230769232,135.25925925925927,134.14814814814815,134.88888888888889
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,BIOLOGIA,BOYACA,166.05882352941177,168.88235294117646,171.2941176470588,173.7058823529412,175.1764705882353
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,CONTADURIA PUBLICA,BOYACA,151.0,142.0,179.5,135.0,199.0
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,DERECHO,BOYACA,144.8,158.8,171.0,173.2,174.8
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,DERECHO Y CIENCIAS SOCIALES,BOYACA,157.6060606060606,143.4848484848485,180.27272727272728,168.03030303030303,188.06060606060606
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,ECONOMIA,BOYACA,147.31034482758622,138.68965517241378,153.82758620689654,149.79310344827587,154.75862068965517
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,ENFERMERIA,BOYACA,163.6315789473684,137.52631578947367,169.21052631578948,169.78947368421052,170.47368421052633
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,FISICA,BOYACA,180.6,161.8,170.8,174.6,139.8
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,INGENIERIA AGRONÓMICA,BOYACA,164.33333333333334,155.86666666666667,158.0,146.66666666666666,157.93333333333334
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,INGENIERIA AMBIENTAL,BOYACA,179.1875,153.4375,176.75,165.5,173.4375
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,INGENIERIA CIVIL,BOYACA,192.17391304347825,140.95652173913044,162.65217391304347,171.04347826086956,167.82608695652175
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,INGENIERIA DE SISTEMAS Y COMPUTACION,BOYACA,164.6,134.24444444444444,158.16666666666666,164.93333333333334,148.2888888888889
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,INGENIERIA DE TRANSPORTE Y VIAS,BOYACA,184.7391304347826,126.21739130434783,170.0,157.52173913043478,155.7391304347826
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,INGENIERIA METALURGICA,BOYACA,161.58333333333334,137.33333333333334,152.66666666666666,157.5,142.66666666666666
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN ARTES PLASTICAS,BOYACA,105.0,133.0,122.0,165.0,163.0
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,BOYACA,149.91666666666666,135.33333333333334,149.66666666666666,153.08333333333334,152.08333333333334
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN CIENCIAS SOCIALES,BOYACA,145.8421052631579,148.6315789473684,166.89473684210526,156.31578947368422,167.68421052631578
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICA HUMANIDADES Y LENGUA CASTELLANA,BOYACA,125.62162162162163,132.26126126126127,131.8918918918919,136.99099099099098,130.66666666666666
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN EDUCACION BASICA PRIMARIA,BOYACA,138.0,151.66666666666666,148.33333333333334,141.33333333333334,136.66666666666666
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,"LICENCIATURA EN EDUCACION FISICA,RECREACION Y DEPORTE",BOYACA,146.27777777777777,109.33333333333333,148.27777777777777,147.0,143.33333333333334
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN EDUCACION PREESCOLAR,BOYACA,140.7058823529412,127.76470588235294,154.23529411764707,153.64705882352942,147.35294117647058
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,"LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE",BOYACA,140.5,130.375,141.75,146.25,126.375
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN FILOSOFIA,BOYACA,135.25,156.75,168.5,99.5,135.5
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN IDIOMAS MODERNOS ESPAÑOL- INGLES,BOYACA,149.61904761904762,167.14285714285714,170.0,201.04761904761904,153.0
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN INFORMATICA EDUCATIVA,BOYACA,136.0,141.0,147.0,139.5,115.0
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN LENGUAS EXTRANJERAS,BOYACA,154.3,148.45,175.15,207.3,171.8
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN MATEMATICAS,BOYACA,147.6,139.2,141.8,141.2,139.2
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN MUSICA,BOYACA,149.75,150.0,156.5,156.25,141.5
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,LICENCIATURA EN PSICOPEDAGOGIA CON ENFASIS EN ASESORIA EDUCATIVA,BOYACA,152.83333333333334,150.33333333333334,170.5,161.58333333333334,166.91666666666666
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,MEDICINA,BOYACA,176.3,142.4,180.9,176.0,177.0
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,MEDICINA VETERINARIA Y ZOOTECNIA,BOYACA,172.1875,138.6875,164.125,160.0625,165.0625
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,PSICOLOGIA,BOYACA,157.8,153.75,172.9,169.95,171.6
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,QUIMICA,BOYACA,168.03703703703704,161.0,154.11111111111111,154.85185185185185,150.62962962962962
UNIVERSIDAD PONTIFICIA BOLIVARIANA-BUCARAMANGA,DERECHO,SANTANDER,166.0,99.0,181.0,123.0,156.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,BOGOTÁ,132.5,161.0,140.25,132.75,129.25
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS,BOGOTÁ,171.5,151.0,153.0,121.0,166.5
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS AGROPECUARIAS,BOGOTÁ,153.0,180.0,124.0,131.0,161.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,COMUNICACION SOCIAL,BOGOTÁ,167.0,98.0,202.0,162.0,199.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,CONSTRUCCION EN ARQUITECTURA E INGENIERIA,BOGOTÁ,102.5,114.0,109.5,136.0,108.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,"CULTURA FISICA, DEPORTE Y RECREACION",BOGOTÁ,141.0,115.0,126.0,158.0,133.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,DERECHO,BOGOTÁ,127.0,112.5,123.0,141.0,124.5
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,DISEÑO GRÁFICO,BOGOTÁ,164.0,185.0,184.0,216.0,165.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,ECONOMIA,BOGOTÁ,187.5,167.5,180.5,179.0,135.5
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,INGENIERIA AMBIENTAL,BOGOTÁ,174.0,163.0,169.0,195.0,172.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,INGENIERIA CIVIL,BOGOTÁ,150.66666666666666,148.33333333333334,153.66666666666666,133.66666666666666,130.66666666666666
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,INGENIERIA MECANICA,BOGOTÁ,178.66666666666666,153.66666666666666,162.0,159.66666666666666,155.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,INGENIERÍA AMBIENTAL,BOGOTÁ,128.5,107.5,168.0,143.0,168.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,INGENIERÍA CIVIL,BOGOTÁ,158.0,128.0,138.0,155.0,143.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,INGENIERÍA EN LOGISTICA Y OPERACIONES,BOGOTÁ,137.0,0.0,154.0,130.0,147.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,LICENCIATURA EN EDUCACION PREESCOLAR,BOGOTÁ,111.5,80.5,104.5,111.5,91.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,LICENCIATURA EN FILOSOFIA Y EDUCACION RELIGIOSA,BOGOTÁ,94.0,101.0,99.0,99.0,147.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,LICENCIATURA EN FILOSOFIA Y LENGUA CASTELLANA,BOGOTÁ,168.0,167.0,181.0,0.0,142.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,MERCADEO,BOGOTÁ,115.0,163.0,147.0,170.0,141.0
UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.,PSICOLOGIA,BOGOTÁ,146.0,131.0,154.0,157.0,167.0
UNIVERSIDAD SANTO TOMAS-BUCARAMANGA,ARQUITECTURA,SANTANDER,170.0,135.0,157.0,178.0,112.0
UNIVERSIDAD SANTO TOMAS-BUCARAMANGA,ECONOMIA,SANTANDER,146.0,76.0,154.0,172.0,157.0
UNIVERSIDAD SANTO TOMAS-BUCARAMANGA,INGENIERIA MECATRONICA,SANTANDER,106.0,135.0,111.0,120.0,101.0
UNIVERSIDAD SANTO TOMAS-BUCARAMANGA,ODONTOLOGIA,SANTANDER,136.0,127.0,143.0,163.0,149.0
UNIVERSIDAD SANTO TOMAS-TUNJA,ADMINISTRACION DE EMPRESAS,BOYACA,144.625,147.25,140.75,156.5,140.25
UNIVERSIDAD SANTO TOMAS-TUNJA,ARQUITECTURA,BOYACA,144.4375,123.3125,148.5,150.375,142.5
UNIVERSIDAD SANTO TOMAS-TUNJA,CONTADURIA PUBLICA,BOYACA,136.33333333333334,112.66666666666667,143.33333333333334,155.33333333333334,149.66666666666666
UNIVERSIDAD SANTO TOMAS-TUNJA,CULTURA FÍSICA DEPORTE Y RECREACIÓN,BOYACA,102.0,123.0,80.0,131.0,109.0
UNIVERSIDAD SANTO TOMAS-TUNJA,DERECHO,BOYACA,139.96666666666667,152.93333333333334,163.96666666666667,162.26666666666668,161.06666666666666
UNIVERSIDAD SANTO TOMAS-TUNJA,INGENIERIA CIVIL,BOYACA,171.5,135.4655172413793,149.51724137931035,151.9655172413793,148.91379310344828
UNIVERSIDAD SANTO TOMAS-TUNJA,INGENIERIA DE SISTEMAS,BOYACA,162.66666666666666,96.0,137.0,163.0,137.66666666666666
UNIVERSIDAD SANTO TOMAS-TUNJA,INGENIERIA ELECTRONICA,BOYACA,166.0,121.5,153.5,149.0,142.5
UNIVERSIDAD SANTO TOMAS-TUNJA,INGENIERÍA AMBIENTAL,BOYACA,176.0,129.625,155.25,160.625,148.75
UNIVERSIDAD SANTO TOMAS-TUNJA,INGENIERÍA INDUSTRIAL,BOYACA,164.0,114.0,146.0,168.0,132.0
UNIVERSIDAD SANTO TOMAS-TUNJA,INGENIERÍA MECÁNICA,BOYACA,164.66666666666666,130.0,157.0,154.33333333333334,154.83333333333334
UNIVERSIDAD SANTO TOMAS-TUNJA,NEGOCIOS INTERNACIONALES,BOYACA,146.8181818181818,151.45454545454547,163.54545454545453,177.8181818181818,154.8181818181818
UNIVERSIDAD SERGIO ARBOLEDA-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS,BOGOTÁ,162.0,191.0,180.0,169.0,178.0
UNIVERSIDAD SERGIO ARBOLEDA-BOGOTÁ D.C.,ECONOMIA,BOGOTÁ,194.0,184.0,171.0,166.0,197.0
UNIVERSIDAD SERGIO ARBOLEDA-BOGOTÁ D.C.,FINANZAS Y COMERCIO EXTERIOR,BOGOTÁ,168.0,157.5,160.0,199.0,170.5
UNIVERSIDAD SERGIO ARBOLEDA-BOGOTÁ D.C.,INGENIERIA INDUSTRIAL,BOGOTÁ,178.0,151.66666666666666,167.0,160.33333333333334,177.0
UNIVERSIDAD SERGIO ARBOLEDA-BOGOTÁ D.C.,MARKETING Y NEGOCIOS INTERNACIONALES,BOGOTÁ,213.0,84.0,183.0,189.0,177.0
UNIVERSIDAD SERGIO ARBOLEDA-BOGOTÁ D.C.,MUSICA,BOGOTÁ,103.0,124.0,141.0,155.0,145.0
UNIVERSITARIA AGUSTINIANA- UNIAGUSTINIANA-BOGOTÁ D.C.,INGENIERIA INDUSTRIAL,BOGOTÁ,87.0,84.0,104.0,128.0,85.0
UNIVERSITARIA VIRTUAL INTERNACIONAL-BOGOTÁ D.C.,CONTADURÍA PÚBLICA,BOGOTÁ,90.0,165.0,118.0,118.0,149.0
UNIVERSITARIA VIRTUAL INTERNACIONAL-BOGOTÁ D.C.,PUBLICIDAD,BOGOTÁ,106.0,145.0,101.0,135.0,122.0
