institucion,programa,departamento,MOD_RAZONA_CUANTITAT_PUNT,MOD_COMUNI_ESCRITA_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_INGLES_PUNT,MOD_COMPETEN_CIUDADA_PUNT
FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,TRABAJO SOCIAL,BOYACA,129.06666666666666,147.26666666666668,147.06666666666666,144.26666666666668,143.93333333333334
FUNDACION UNIVERSITARIA JUAN N. CORPAS-BOGOTÁ D.C.,MEDICINA,BOGOTÁ,139.75,128.75,167.0,167.0,155.5
FUNDACION UNIVERSITARIA KONRAD LORENZ-BOGOTÁ D.C.,INGENIERIA DE SISTEMAS,BOGOTÁ,191.0,0.0,133.0,169.0,148.0
FUNDACION UNIVERSITARIA KONRAD LORENZ-BOGOTÁ D.C.,PSICOLOGIA,BOGOTÁ,161.5,142.0,185.5,165.5,195.5
FUNDACION UNIVERSITARIA LOS LIBERTADORES-BOGOTÁ D.C.,LICENCIATURA EN EDUCACION ESPECIAL,BOGOTÁ,104.0,115.0,162.0,143.0,146.0
FUNDACION UNIVERSITARIA NAVARRA - UNINAVARRA-NEIVA,DERECHO,HUILA,151.0,151.0,146.0,162.0,155.0
INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA -UNICOC-BOGOTÁ D.C.,ODONTOLOGIA,BOGOTÁ,128.75,111.25,140.25,158.75,128.0
INSTITUTO UNIVERSITARIO DE LA PAZ-BARRANCABERMEJA,INGENIERIA EN HIGIENE Y SEGURIDAD INDUSTRIAL,SANTANDER,127.0,140.0,116.0,133.0,122.0
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,ADMINISTRACION PUBLICA,BOGOTÁ,131.25,139.25,138.0,150.0,157.75
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,ADMINISTRACIÓN DE EMPRESAS,BOGOTÁ,136.27272727272728,135.8409090909091,139.95454545454547,137.86363636363637,133.63636363636363
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,CONTADURIA PUBLICA,BOGOTÁ,141.83333333333334,120.83333333333333,141.08333333333334,138.5,139.0
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,ECONOMÍA,BOGOTÁ,142.0,156.0,168.0,143.0,159.0
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,INGENIERIA DE SISTEMAS,BOGOTÁ,103.0,130.0,98.0,150.0,105.0
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,INGENIERIA INDUSTRIAL,BOGOTÁ,168.6,127.0,162.4,154.4,174.2
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,INGENIERÍA DE SOFTWARE,BOGOTÁ,174.5,163.0,143.75,131.25,143.25
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,INGENIERÍA INDUSTRIAL,BOGOTÁ,139.32926829268294,129.7560975609756,133.97560975609755,140.6829268292683,132.7439024390244
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,LICENCIATURA EN CIENCIAS SOCIALES,BOGOTÁ,108.0,97.0,149.0,126.0,164.0
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,MERCADEO Y PUBLICIDAD,BOGOTÁ,160.0,144.0,148.0,175.0,166.0
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,NEGOCIOS INTERNACIONALES,BOGOTÁ,115.0,141.0,129.0,125.0,121.0
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,PROFESIONAL EN GESTIÓN DE LA SEGURIDAD Y LA SALUD LABORAL,BOGOTÁ,131.55102040816325,122.83673469387755,130.75510204081633,137.14285714285714,131.51020408163265
POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,PSICOLOGÍA,BOGOTÁ,128.85714285714286,138.71428571428572,145.71428571428572,144.07142857142858,141.82142857142858
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS,BOGOTÁ,211.0,167.0,185.0,199.0,183.0
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,ARQUITECTURA,BOGOTÁ,202.0,125.0,199.0,199.0,212.0
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,ARTES VISUALES,BOGOTÁ,171.0,132.0,191.0,185.0,172.0
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,BACTERIOLOGIA,BOGOTÁ,119.0,80.0,118.0,175.0,149.0
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,CIENCIA POLITICA,BOGOTÁ,169.0,185.0,187.0,189.0,201.0
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,CONTADURIA PUBLICA,BOGOTÁ,154.0,154.0,147.0,142.0,72.0
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,DERECHO,BOGOTÁ,174.33333333333334,145.0,199.66666666666666,201.66666666666666,202.33333333333334
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,ECONOMIA,BOGOTÁ,213.0,151.0,205.0,185.0,180.0
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,ESTUDIOS LITERARIOS,BOGOTÁ,124.0,177.0,202.0,198.0,194.0
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,INGENIERIA CIVIL,BOGOTÁ,200.66666666666666,119.0,199.66666666666666,191.66666666666666,193.0
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,INGENIERIA ELECTRONICA,BOGOTÁ,212.5,127.0,160.0,161.0,170.5
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,INGENIERIA INDUSTRIAL,BOGOTÁ,200.66666666666666,160.66666666666666,189.66666666666666,194.0,190.33333333333334
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,LICENCIATURA EN TEOLOGIA,BOGOTÁ,180.0,85.0,183.0,174.0,179.5
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,MEDICINA,BOGOTÁ,187.33333333333334,202.0,187.0,204.5,176.0
PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,MICROBIOLOGIA INDUSTRIAL,BOGOTÁ,176.0,148.0,169.0,162.0,156.0
PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,MEDICINA,VALLE,193.0,176.0,193.66666666666666,226.33333333333334,196.0
UNIDADES TECNOLOGICAS DE SANTANDER-BUCARAMANGA,INGENIERÍA ELECTROMECÁNICA,SANTANDER,139.0,142.0,103.0,130.0,135.0
UNIDADES TECNOLOGICAS DE SANTANDER-BUCARAMANGA,PROFESIONAL EN ACTIVIDAD FISICA Y DEPORTE,SANTANDER,145.0,95.0,148.0,155.0,156.0
UNIPANAMERICANA - FUNDACION UNIVERSITARIA PANAMERICANA-BOGOTÁ D.C.,ADMINISTRACIÓN EN SERVICIOS DE SALUD,BOGOTÁ,120.0,157.0,130.0,155.0,147.0
UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,COMERCIO INTERNACIONAL,BOGOTÁ,130.0,132.5,139.5,150.0,122.0
UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,CONTADURIA PUBLICA,BOGOTÁ,139.28571428571428,104.57142857142857,131.0,139.28571428571428,144.28571428571428
UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,DERECHO,BOGOTÁ,145.92,145.48,153.12,149.96,159.6
UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,ENFERMERIA,BOGOTÁ,117.33333333333333,133.33333333333334,136.66666666666666,117.0,137.33333333333334
UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,INGENIERIA CIVIL,BOGOTÁ,178.33333333333334,132.5,155.5,142.66666666666666,139.0
UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,INGENIERIA ELECTROMECANICA,BOGOTÁ,158.54545454545453,136.27272727272728,140.9090909090909,146.1818181818182,150.36363636363637
UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,INGENIERIA ELECTRONICA,BOGOTÁ,165.0,148.0,159.33333333333334,138.66666666666666,115.0
UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,INGENIERIA INDUSTRIAL,BOGOTÁ,152.64285714285714,134.71428571428572,138.78571428571428,152.71428571428572,133.92857142857142
UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,MEDICINA VETERINARIA,BOGOTÁ,142.0,157.0,183.0,140.0,132.0
UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,ODONTOLOGIA,BOGOTÁ,127.0,79.0,156.0,140.0,162.0
UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,PSICOLOGIA,BOGOTÁ,95.0,157.0,148.0,132.0,149.5
UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-BUCARAMANGA,ADMINISTRACION DE EMPRESAS,SANTANDER,177.0,135.0,164.0,197.0,184.0
UNIVERSIDAD AUTONOMA DEL CARIBE-BARRANQUILLA,DISEÑO DE MODAS,ATLANTICO,161.0,135.0,160.0,130.0,168.0
UNIVERSIDAD CATOLICA DE COLOMBIA-BOGOTÁ D.C.,DERECHO,BOGOTÁ,140.5,146.5,151.0,163.0,144.0
UNIVERSIDAD CATOLICA DE COLOMBIA-BOGOTÁ D.C.,INGENIERÍA CIVIL,BOGOTÁ,180.0,148.5,163.0,161.0,169.0
UNIVERSIDAD CATOLICA DE COLOMBIA-BOGOTÁ D.C.,PSICOLOGIA,BOGOTÁ,118.0,119.0,124.0,168.0,144.0
UNIVERSIDAD CATOLICA DE MANIZALES-MANIZALES,INGENIERIA AMBIENTAL,CALDAS,146.0,139.0,138.0,168.0,104.0
UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,INGENIERÍA INDUSTRIAL,RISARALDA,131.0,132.0,117.0,142.0,118.0
UNIVERSIDAD CENTRAL-BOGOTÁ D.C.,ESTUDIOS MUSICALES,BOGOTÁ,161.0,150.0,168.0,155.0,177.0
