ies,rango_modal,graduados_rango_modal,total_graduados
UNIVERSIDAD CES,"Entre 2,5 y 4 SMMLV",2126,9381
UNIVERSIDAD DE LA GUAJIRA,"Entre 2,5 y 4 SMMLV",2911,9356
UNIVERSIDAD MARIANA,"Entre 2,5 y 4 SMMLV",2364,8399
INSTITUCION UNIVERSITARIA PASCUAL BRAVO,"Entre 1,5 y 2,5 SMMLV",2340,8374
UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,"Entre 1 y 1,5 SMMLV",2110,8017
FUNDACION UNIVERSITARIA-CEIPA-,"Entre 2,5 y 4 SMMLV",2089,7908
FUNDACION UNIVERSITARIA ESUMER,"Entre 2,5 y 4 SMMLV",2213,7724
UNIVERSIDAD ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO,"Entre 2,5 y 4 SMMLV",1724,7698
"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F C E C E P ","Entre 1 y 1,5 SMMLV",2913,7575
CORPORACION UNIVERSITARIA AMERICANA,"Entre 1 y 1,5 SMMLV",2235,7563
UNIVERSITARIA AGUSTINIANA- UNIAGUSTINIANA,"Entre 1,5 y 2,5 SMMLV",2039,7497
UNIVERSIDAD METROPOLITANA,"Entre 2,5 y 4 SMMLV",1996,7487
INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,"Entre 1,5 y 2,5 SMMLV",2338,7416
UNIVERSIDAD AUTONOMA DE MANIZALES,"Entre 2,5 y 4 SMMLV",1682,7334
FUNDACION UNIVERSITARIA PARA EL DESARROLLO HUMANO - UNINPAHU,"Entre 1,5 y 2,5 SMMLV",1975,7123
CORPORACION UNIVERSITARIA UNITEC,"Entre 2,5 y 4 SMMLV",1747,6987
UNIVERSIDAD CATOLICA DE ORIENTE -UCO,"Entre 2,5 y 4 SMMLV",2264,6903
UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES - UDCA,"Entre 2,5 y 4 SMMLV",2064,6699
UNIVERSIDAD DE LA AMAZONIA,"Entre 2,5 y 4 SMMLV",2081,6571
CORPORACION UNIVERSITARIA RAFAEL NUÑEZ,"Entre 1,5 y 2,5 SMMLV",1779,6532
UNIVERSIDAD DE IBAGUE,"Entre 1 y 1,5 SMMLV",1559,6518
FUNDACION UNIVERSIDAD DE AMERICA,"Entre 2,5 y 4 SMMLV",1501,6487
