periodo,ano,mes,DPTO,pea,desempleados,tasa
2022-12,2022,12,68,1055467.04134045,81485.64097169999,7.72
2022-12,2022,12,70,335464.42433364596,24315.011335836996,7.25
2022-12,2022,12,73,569177.8659725799,61605.4575405,10.82
2022-12,2022,12,76,1947708.866924694,147939.66811178002,7.6
2022-12,2022,12,81,39720.615756216,7613.310231308,19.17
2022-12,2022,12,85,80818.70793912999,4512.49424331,5.58
2022-12,2022,12,86,20299.321210901,4502.665788603,22.18
2022-12,2022,12,88,21945.085071089,2046.974414481,9.33
2022-12,2022,12,91,13732.770095859,457.94575680599996,3.33
2022-12,2022,12,94,9233.33157259,1117.246775912,12.1
2022-12,2022,12,95,19173.282676919,313.42379805999997,1.63
2022-12,2022,12,97,4389.117374513,289.61413936799994,6.6
2022-12,2022,12,99,7029.199716523,928.8918228560001,13.21
2023-01,2023,1,5,2820779.107024753,183848.24585610197,6.52
2023-01,2023,1,8,1077204.7781395921,68863.186648049,6.39
2023-01,2023,1,11,3918979.8620682694,511191.81940594,13.04
2023-01,2023,1,13,827486.2189683199,60711.02062001001,7.34
2023-01,2023,1,15,462980.011872373,13201.656097272004,2.85
2023-01,2023,1,17,410686.969406349,38634.391426377006,9.41
2023-01,2023,1,18,157972.54446002902,12783.253286409,8.09
2023-01,2023,1,19,590529.340626593,29007.79885601,4.91
2023-01,2023,1,20,466736.3852288749,46384.39195805,9.94
2023-01,2023,1,23,743651.092318194,117056.913246598,15.74
2023-01,2023,1,25,1481558.137832038,166082.217220722,11.21
2023-01,2023,1,27,137260.103904357,21932.302553116002,15.98
2023-01,2023,1,41,483632.46721206297,30202.68370794599,6.24
2023-01,2023,1,44,284864.76568965,42830.232846469,15.04
2023-01,2023,1,47,516011.777130555,26004.85517427,5.04
2023-01,2023,1,50,460145.34781986004,55859.62805516,12.14
2023-01,2023,1,52,581083.03304328,27045.194512847997,4.65
2023-01,2023,1,54,665766.3866980299,80355.72471596999,12.07
2023-01,2023,1,63,248108.78658234602,36033.186317094995,14.52
2023-01,2023,1,66,440457.320406086,39501.916760880005,8.97
2023-01,2023,1,68,1012339.824451336,117535.15408395999,11.61
2023-01,2023,1,70,325308.282535422,28043.902683328,8.62
2023-01,2023,1,73,552786.09605874,88154.44572642,15.95
2023-01,2023,1,76,1829732.7060389249,166560.25947237003,9.1
2023-01,2023,1,81,41236.785790248,13439.641750319002,32.59
2023-01,2023,1,85,77517.86164778,8046.4246265599995,10.38
2023-01,2023,1,86,20683.251341502997,5414.651973836,26.18
2023-01,2023,1,88,21940.862318469,2356.3810749880004,10.74
2023-01,2023,1,91,13047.042664674998,453.767300973,3.48
2023-01,2023,1,94,9841.866680048,1037.539469896,10.54
2023-01,2023,1,95,17769.415157027,689.879601989,3.88
2023-01,2023,1,97,3988.1156570900002,493.806412629,12.38
2023-01,2023,1,99,7484.649941479,1214.0863337279998,16.22
2023-02,2023,2,5,2952764.1985128606,182935.37834559297,6.2
2023-02,2023,2,8,1135974.554614073,78217.05570741999,6.89
2023-02,2023,2,11,4047656.65953577,424791.77171950997,10.49
2023-02,2023,2,13,824303.738786543,44303.104669379994,5.37
2023-02,2023,2,15,420197.70147658605,33400.96261937399,7.95
2023-02,2023,2,17,410778.0930900549,27625.153819542997,6.73
2023-02,2023,2,18,160406.041735262,10137.932178288998,6.32
2023-02,2023,2,19,623044.5300668951,32244.065252087996,5.18
2023-02,2023,2,20,505974.04763626296,70220.899814728,13.88
2023-02,2023,2,23,709772.758706412,87413.39512725802,12.32
2023-02,2023,2,25,1501079.928935271,149897.877948313,9.99
2023-02,2023,2,27,126215.468890883,19235.413328749997,15.24
2023-02,2023,2,41,460835.774472972,36628.990644587,7.95
2023-02,2023,2,44,306157.09798974503,45296.175010884006,14.8
2023-02,2023,2,47,553897.596926521,25246.54191605,4.56
2023-02,2023,2,50,495045.51684014004,42080.808731490004,8.5
2023-02,2023,2,52,716557.9347217451,37727.295424178,5.27
2023-02,2023,2,54,670783.03275475,51415.84260258,7.67
2023-02,2023,2,63,240758.17554503802,34436.113366232996,14.3
2023-02,2023,2,66,430841.011768853,38033.754280103996,8.83
2023-02,2023,2,68,1001635.888073317,89377.70872300901,8.92
2023-02,2023,2,70,331196.042061419,26687.949529432997,8.06
2023-02,2023,2,73,545108.912088444,80597.13661368999,14.79
2023-02,2023,2,76,1912935.953008964,162477.43997901,8.49
2023-02,2023,2,81,39645.54106719,11651.620076573001,29.39
2023-02,2023,2,85,79998.40462788001,6840.335400659999,8.55
2023-02,2023,2,86,20567.777656329003,6295.832360382,30.61
2023-02,2023,2,88,22520.17929986,3424.2829798170014,15.21
2023-02,2023,2,91,15500.84720749,666.2504279120001,4.3
2023-02,2023,2,94,9509.610473182001,953.9339258759999,10.03
2023-02,2023,2,95,19224.043756465,800.8032015919999,4.17
2023-02,2023,2,97,4257.192369053999,466.46678787499997,10.96
2023-02,2023,2,99,7741.42161849,889.258993073,11.49
2023-03,2023,3,5,3002275.617720753,152298.686926022,5.07
2023-03,2023,3,8,1148682.488130179,62497.69488035999,5.44
2023-03,2023,3,11,4184071.13155743,413380.4741214699,9.88
2023-03,2023,3,13,814916.4862897801,63866.01892102,7.84
2023-03,2023,3,15,493611.81042760995,16219.707001782,3.29
2023-03,2023,3,17,411097.0056524259,25404.979148298,6.18
2023-03,2023,3,18,159571.83762543803,11475.129417686001,7.19
2023-03,2023,3,19,609424.193269201,24809.544725679996,4.07
2023-03,2023,3,20,483024.814616383,40662.104942160004,8.42
2023-03,2023,3,23,675709.253142626,74183.364488567,10.98
2023-03,2023,3,25,1518791.700657445,120019.91209665098,7.9
2023-03,2023,3,27,135156.07172194298,19913.546193039998,14.73
2023-03,2023,3,41,443153.380972759,32142.176961959995,7.25
2023-03,2023,3,44,344403.833980046,27323.000787956003,7.93
2023-03,2023,3,47,543866.791663671,18141.363018765,3.34
2023-03,2023,3,50,479410.95047012495,40183.54634931,8.38
2023-03,2023,3,52,738522.732847182,29213.185631297998,3.96
2023-03,2023,3,54,650495.1844774301,63792.93949075,9.81
2023-03,2023,3,63,243272.077132105,36361.519479348004,14.95
2023-03,2023,3,66,432966.337374598,37254.857558368,8.6
2023-03,2023,3,68,1027227.3635196111,95309.915585626,9.28
2023-03,2023,3,70,311726.852423021,22543.544505543996,7.23
2023-03,2023,3,73,529899.19505194,65160.85085,12.3
2023-03,2023,3,76,1858020.0074901248,153303.74939039003,8.25
2023-03,2023,3,81,37755.786273546,10018.447879661,26.53
2023-03,2023,3,85,81466.44294845,7749.47677271,9.51
2023-03,2023,3,86,20739.602661087,5786.158296969999,27.9
2023-03,2023,3,88,22036.403415028,2942.2104451860005,13.35
2023-03,2023,3,91,14886.099401307,906.4248122750001,6.09
2023-03,2023,3,94,10155.665698415,1091.8860818580001,10.75
2023-03,2023,3,95,18593.471762714,451.380653658,2.43
2023-03,2023,3,97,4741.121482568,536.316230332,11.31
2023-03,2023,3,99,7522.2397888939995,643.9203248719999,8.56
2023-04,2023,4,5,3007965.0684543,147938.36530501998,4.92
2023-04,2023,4,8,1181981.6201671269,87657.72437634,7.42
2023-04,2023,4,11,3902232.57537122,328112.77833816,8.41
2023-04,2023,4,13,849657.0648826701,56733.51797879,6.68
2023-04,2023,4,15,486035.61477332097,19524.280636225,4.02
2023-04,2023,4,17,411867.89971945994,29195.156135554,7.09
2023-04,2023,4,18,169513.339895372,10798.250540583,6.37
2023-04,2023,4,19,611399.332742234,24499.575633879,4.01
2023-04,2023,4,20,459511.6416128379,53075.36183287001,11.55
2023-04,2023,4,23,662987.979636006,79798.90734402598,12.04
2023-04,2023,4,25,1500992.5411807923,138297.46057246497,9.21
2023-04,2023,4,27,144425.012525632,13699.490850841998,9.49
2023-04,2023,4,41,470701.216330935,33666.923761586004,7.15
2023-04,2023,4,44,313519.81237186503,37632.53976744,12.0
2023-04,2023,4,47,532480.9997706299,21090.023167530002,3.96
2023-04,2023,4,50,500009.707758596,44955.48880913001,8.99
2023-04,2023,4,52,676912.9312031879,22368.043871017,3.3
2023-04,2023,4,54,640135.75296164,62241.77993395,9.72
2023-04,2023,4,63,245507.383006087,28595.923767747,11.65
2023-04,2023,4,66,459049.007294339,32792.90732384,7.14
2023-04,2023,4,68,984207.1725555441,85580.00138671,8.7
2023-04,2023,4,70,361524.2984195,23692.036501273,6.55
2023-04,2023,4,73,512496.00980309,62873.3253164,12.27
2023-04,2023,4,76,1912080.1953012398,161440.69392687,8.44
2023-04,2023,4,81,39251.117505274,8806.357399314,22.44
2023-04,2023,4,85,82427.8201852,4111.03018987,4.99
2023-04,2023,4,86,17483.642719306998,3713.0455717459995,21.24
2023-04,2023,4,88,23063.212943560997,2585.779833262,11.21
2023-04,2023,4,91,15171.206171976999,370.295416893,2.44
2023-04,2023,4,94,9700.245660126,1053.256547995,10.86
2023-04,2023,4,95,17813.333598565005,536.92005946,3.01
2023-04,2023,4,97,4746.3503290424,92.15079698699999,1.94
2023-04,2023,4,99,7510.661088293,794.125487722,10.57
2023-05,2023,5,5,2955633.922138146,133706.23718336,4.52
2023-05,2023,5,8,1145518.8571202091,85578.92146359001,7.47
2023-05,2023,5,11,4106141.18972273,413944.34245617,10.08
2023-05,2023,5,13,831024.752359257,51031.862017588996,6.14
2023-05,2023,5,15,488980.79342186695,25141.887282277006,5.14
2023-05,2023,5,17,410919.146359127,32111.694632661,7.81
2023-05,2023,5,18,160043.117468761,13061.138900911,8.16
2023-05,2023,5,19,647216.7330059051,24916.255498183997,3.85
2023-05,2023,5,20,491183.17145863,39978.389985289985,8.14
2023-05,2023,5,23,701219.4282813531,81908.13596375099,11.68
2023-05,2023,5,25,1518435.5715955358,100180.24123652998,6.6
2023-05,2023,5,27,132573.089400988,19691.315135708,14.85
2023-05,2023,5,41,454381.27774244995,25650.900939106003,5.65
2023-05,2023,5,44,314848.395795859,28952.863287216995,9.2
2023-05,2023,5,47,541742.7890718139,23650.521917147,4.37
2023-05,2023,5,50,491576.76747752,42690.52175258,8.68
2023-05,2023,5,52,670816.690084081,26263.884128955997,3.92
2023-05,2023,5,54,681506.93367377,57902.50659344,8.5
2023-05,2023,5,63,222697.250637298,23451.611506850004,10.53
2023-05,2023,5,66,427133.838299182,36118.896167135,8.46
2023-05,2023,5,68,1051567.516337458,70507.45022538002,6.7
2023-05,2023,5,70,330088.563101363,19759.860445573002,5.99
2023-05,2023,5,73,542484.21619534,57099.538235390006,10.53
2023-05,2023,5,76,1887236.8419732018,124772.07784739003,6.61
2023-05,2023,5,81,41993.674038176,12908.168584000001,30.74
2023-05,2023,5,85,71019.96202058,3854.16171207,5.43
2023-05,2023,5,86,20124.686131242,5690.758946009,28.28
2023-05,2023,5,88,23117.471322138997,3250.703388572,14.06
2023-05,2023,5,91,16056.744617503,1639.142535513,10.21
2023-05,2023,5,94,10616.854427674,1487.8516872989997,14.01
2023-05,2023,5,95,20381.717629639,687.219798699,3.37
2023-05,2023,5,97,4088.835681705,34.085232758000004,0.83
