OFICIO_C8,salario_promedio,salario_mediano,empleo_total,ocupados_muestra,periodo
9321,1720927.0,1750905.0,110680.94944556299,102.0,2026-04
9329,1434219.0,1500000.0,34692.017221512,55.0,2026-04
9331,1016905.0,700000.0,14081.796706161998,11.0,2026-04
9332,1200000.0,1200000.0,318.94343351,1.0,2026-04
9333,1335406.0,1200000.0,233686.16555609897,223.0,2026-04
9334,1541671.0,1750905.0,67470.621162775,56.0,2026-04
9411,868158.0,800000.0,115395.651969704,170.0,2026-04
9412,1417931.0,1435000.0,199718.069052117,308.0,2026-04
9510,961057.0,750000.0,17432.621093879,26.0,2026-04
9520,875848.0,650000.0,167076.18271684,239.0,2026-04
9611,1360771.0,600000.0,62367.095571344005,79.0,2026-04
9612,669327.0,550000.0,41353.705881099995,44.0,2026-04
9613,2212822.0,1800000.0,20198.633407898,34.0,2026-04
9621,1518586.0,1600000.0,191372.88630326302,282.0,2026-04
9622,1925849.0,1750905.0,21884.836103536,26.0,2026-04
9624,100000.0,100000.0,1623.0800668,1.0,2026-04
9626,1852933.0,1800000.0,8056.312359496001,7.0,2026-04
9629,1155650.0,1000000.0,21824.980328887003,31.0,2026-04
