uri,nombre,definicion,tipo_habilidad,nivel_reutilizacion
http://data.europa.eu/esco/skill/17446f6d-d8b0-4945-a37b-9ad0dfc9f3e8,diseñar un sistema de refrigeración solar por absorción,"Diseñar un sistema de refrigeración por absorción con regeneración solar a través de colectores de calor tubulares. Calcular la demanda de refrigeración exacta del edificio para seleccionar la capacidad adecuada (kW). Realizar un diseño detallado de la instalación, el principio y la estrategia de automatización, utilizando los productos y conceptos disponibles, y seleccionar productos a medida.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/17447ce4-4c4a-4158-b1ea-03ed5364b4e8,gestionar planes para el almacenamiento de subproductos orgánicos,Aplicar métodos y procedimientos para el almacenamiento de subproductos orgánicos en consonancia con la legislación vigente y con las políticas de salud y seguridad. Supervisar la ejecución de los planes y reaccione ante los posibles problemas.,skill/competence,occupation-specific
http://data.europa.eu/esco/skill/186da517-9a3e-41cd-9158-4001e3694459,agricultura ecológica,"Principios, técnicas y reglamentaciones de la agricultura ecológica. La agricultura orgánica o la agricultura ecológica es un método de producción agrícola que hace especial hincapié en la protección del medio ambiente y el equilibrio ecológico.",knowledge,sector-specific
http://data.europa.eu/esco/skill/189777b9-6e95-4f76-b8db-f8e0f0477bc6,desarrollar estrategias de riego,"Planificar el despliegue de métodos y procedimientos para regar los terrenos por medios artificiales, teniendo en cuenta estrategias para la sostenibilidad del aprovechamiento del agua.
 ",skill/competence,sector-specific
http://data.europa.eu/esco/skill/18d3f89a-6ac5-4ca6-bf93-0baec4e13bcd,instalar sistemas fotovoltaicos,Instalar sistemas que generen energía eléctrica mediante la conversión de la luz en corrientes eléctricas: el efecto fotovoltaico. Garantizar el cumplimiento de la normativa y la correcta instalación del sistema fotovoltaico.,skill/competence,occupation-specific
http://data.europa.eu/esco/skill/192e12e7-6bf0-42e6-bfc3-70c08551f12a,evaluar los planes medioambientales cotejándolos con los costes financieros,Evaluar los planes medioambientales en términos financieros para equilibrar los gastos necesarios requeridos para introducir mejoras medioambientales. Evaluar el beneficio económico que tales inversiones aportarán a largo plazo a la empresa.,skill/competence,cross-sector
http://data.europa.eu/esco/skill/192f3ca9-2232-40d0-b241-387966ce2de8,legislación en materia de transporte de residuos,"Normativa y legislación en materia de transporte seguro de residuos, productos y aparatos de desecho peligrosos y no peligrosos.",knowledge,cross-sector
http://data.europa.eu/esco/skill/1a09db78-cbcf-428a-a23c-5c3f3951cc4c,supervisar puntos verdes,"Supervisar los emplazamientos e instalaciones que contienen puntos de reciclado y en los que las personas pueden eliminar sus residuos domésticos, con el fin de garantizar la seguridad, el cumplimiento de la legislación y el uso por parte del público de las instalaciones de conformidad con la normativa reguladora en materia de residuos.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/1a6c7e0d-fc13-41d7-a5c0-8ca00606de89,promover el uso de energía sostenible,"Promover el uso de fuentes de energía renovables y de generación de calor para organizaciones e individuos, con el fin de trabajar en pro de un futuro sostenible y fomentar las ventas de equipos de energías renovables, como los equipos de energía solar.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/1aae38c8-f75a-4009-8aa0-c5fa94b06e6b,gestionar los ensayos de calidad del agua,"Indicar los procedimientos en torno a las pruebas y el análisis de calidad del agua y los procesos de purificación posteriores mediante la gestión de las operaciones desde la recogida de muestras hasta los ensayos de laboratorio, la gestión del personal y garantizando el cumplimiento de la legislación.",skill/competence,cross-sector
