dpto,rama_ciiu,empleo,periodo,ano,mes
13,64,1324.90582374,2022-02,2022,2
13,65,2370.02694082,2022-02,2022,2
13,68,7309.74913867,2022-02,2022,2
13,69,9607.07390951,2022-02,2022,2
13,70,2298.60734791,2022-02,2022,2
13,71,2832.85449017,2022-02,2022,2
13,73,743.72384254,2022-02,2022,2
13,74,3951.7568574300003,2022-02,2022,2
13,75,309.69868359,2022-02,2022,2
13,77,1884.11799524,2022-02,2022,2
13,78,462.24530899,2022-02,2022,2
13,79,3515.04345273,2022-02,2022,2
13,80,4257.62085022,2022-02,2022,2
13,81,34262.29766818,2022-02,2022,2
13,82,3334.54929422,2022-02,2022,2
13,84,25910.85853258,2022-02,2022,2
13,85,37423.61348786,2022-02,2022,2
13,86,26758.35769898,2022-02,2022,2
13,87,220.43302922,2022-02,2022,2
13,88,3173.97598272,2022-02,2022,2
13,90,1069.83561291,2022-02,2022,2
13,92,2267.63109084,2022-02,2022,2
13,93,7265.30262449,2022-02,2022,2
13,94,7529.60407506,2022-02,2022,2
13,95,7869.8025884,2022-02,2022,2
13,96,26405.62747068,2022-02,2022,2
13,97,33688.89773475,2022-02,2022,2
15,1,113862.433792491,2022-02,2022,2
15,5,264.41780338,2022-02,2022,2
15,6,124.564939,2022-02,2022,2
15,10,14711.280013448,2022-02,2022,2
15,11,148.026219267,2022-02,2022,2
15,13,91.019414067,2022-02,2022,2
15,14,218.91227514899998,2022-02,2022,2
15,16,4166.6937136,2022-02,2022,2
15,19,116.27881979,2022-02,2022,2
15,20,120.80059281,2022-02,2022,2
15,23,3874.759454118,2022-02,2022,2
15,25,13340.625396527,2022-02,2022,2
15,27,141.052134634,2022-02,2022,2
15,31,516.276236233,2022-02,2022,2
15,32,2303.889228742,2022-02,2022,2
15,33,63.354133812,2022-02,2022,2
15,35,2103.519141478,2022-02,2022,2
15,36,288.921317612,2022-02,2022,2
15,37,128.26322371,2022-02,2022,2
15,38,258.95336179599997,2022-02,2022,2
15,41,24614.272065132,2022-02,2022,2
15,42,831.764384446,2022-02,2022,2
15,43,748.12966856,2022-02,2022,2
15,45,26782.382351375,2022-02,2022,2
15,46,3962.465585909,2022-02,2022,2
15,47,63366.62808942,2022-02,2022,2
15,49,22528.060484305,2022-02,2022,2
15,52,5248.843784345,2022-02,2022,2
15,53,1125.674578521,2022-02,2022,2
15,55,4132.114283162,2022-02,2022,2
15,56,26048.80927218,2022-02,2022,2
15,58,105.03503358,2022-02,2022,2
15,61,593.709647322,2022-02,2022,2
15,62,3172.825437729,2022-02,2022,2
15,64,16658.646516339002,2022-02,2022,2
15,65,3198.72981699,2022-02,2022,2
15,68,255.014635396,2022-02,2022,2
15,69,2144.674204329,2022-02,2022,2
15,70,245.01364213,2022-02,2022,2
15,71,1011.671099558,2022-02,2022,2
15,73,8217.740825475,2022-02,2022,2
15,74,966.2205325,2022-02,2022,2
15,75,403.931585014,2022-02,2022,2
15,77,103.47083792,2022-02,2022,2
15,78,249.04018351000002,2022-02,2022,2
15,79,119.70151643,2022-02,2022,2
15,80,827.0844712530001,2022-02,2022,2
15,81,14717.004565424,2022-02,2022,2
15,82,1057.83039112,2022-02,2022,2
15,84,16842.499045672,2022-02,2022,2
15,85,20546.730549064,2022-02,2022,2
15,86,18644.496005476998,2022-02,2022,2
15,87,110.35332548,2022-02,2022,2
15,88,4151.93803183,2022-02,2022,2
15,90,436.670581815,2022-02,2022,2
15,91,2279.1452839,2022-02,2022,2
15,93,3644.648922506,2022-02,2022,2
15,94,1459.972821995,2022-02,2022,2
15,95,266.26488669599996,2022-02,2022,2
15,96,2883.871741385,2022-02,2022,2
15,97,2162.3577862350003,2022-02,2022,2
17,1,61035.452865493,2022-02,2022,2
17,2,128.5068639,2022-02,2022,2
17,5,271.22955738,2022-02,2022,2
17,7,9883.07070533,2022-02,2022,2
17,8,242.21730431999998,2022-02,2022,2
17,9,140.95402758,2022-02,2022,2
17,10,13016.633793673,2022-02,2022,2
17,11,1479.6907159300001,2022-02,2022,2
17,13,839.533954738,2022-02,2022,2
17,14,7710.421975332,2022-02,2022,2
17,15,1917.5849146110002,2022-02,2022,2
17,16,601.75689569,2022-02,2022,2
17,18,455.14016583800003,2022-02,2022,2
17,20,516.75396583,2022-02,2022,2
17,22,2249.72044951,2022-02,2022,2
17,23,3937.3014611070003,2022-02,2022,2
17,24,557.46432642,2022-02,2022,2
17,25,5598.10562872,2022-02,2022,2
17,26,347.81623105,2022-02,2022,2
17,27,1212.99447593,2022-02,2022,2
17,28,330.08019429,2022-02,2022,2
17,29,272.00097852,2022-02,2022,2
17,30,220.35743232,2022-02,2022,2
17,31,3126.70481453,2022-02,2022,2
17,32,613.71054958,2022-02,2022,2
17,33,362.2303038,2022-02,2022,2
17,35,2045.4678933599998,2022-02,2022,2
17,36,1922.50955726,2022-02,2022,2
17,38,912.85413948,2022-02,2022,2
17,41,21319.823413521,2022-02,2022,2
17,42,3570.329445254,2022-02,2022,2
17,43,5305.112795753,2022-02,2022,2
17,45,15183.169123766,2022-02,2022,2
17,46,8206.531032543,2022-02,2022,2
17,47,65943.23438091,2022-02,2022,2
17,49,21773.063090351,2022-02,2022,2
17,52,3294.21265254,2022-02,2022,2
17,53,1692.425368698,2022-02,2022,2
17,55,3103.17996411,2022-02,2022,2
17,56,26031.280634039,2022-02,2022,2
17,58,143.00501421,2022-02,2022,2
17,59,144.33351158,2022-02,2022,2
17,61,4400.879577268,2022-02,2022,2
17,62,2720.54644543,2022-02,2022,2
17,64,3453.031161201,2022-02,2022,2
17,65,2654.604677072,2022-02,2022,2
17,68,2371.932908858,2022-02,2022,2
17,69,2218.201114053,2022-02,2022,2
17,70,494.537330452,2022-02,2022,2
17,71,1801.71435792,2022-02,2022,2
17,72,180.74667518,2022-02,2022,2
17,73,3812.11706902,2022-02,2022,2
17,74,709.85623511,2022-02,2022,2
17,75,165.41571556,2022-02,2022,2
17,80,5164.411455662999,2022-02,2022,2
17,81,10773.460670331,2022-02,2022,2
17,82,9519.119072671001,2022-02,2022,2
17,84,16842.928246172,2022-02,2022,2
17,85,21938.239041453002,2022-02,2022,2
17,86,19456.21335859,2022-02,2022,2
17,87,523.03080857,2022-02,2022,2
17,88,983.6705075699999,2022-02,2022,2
17,90,133.26648102,2022-02,2022,2
17,92,2697.840423392,2022-02,2022,2
17,93,3905.39403404,2022-02,2022,2
17,94,1867.55590856,2022-02,2022,2
17,95,3156.818301167,2022-02,2022,2
17,96,4883.566316344,2022-02,2022,2
17,97,12211.620669692,2022-02,2022,2
17,99,161.46271513,2022-02,2022,2
18,1,44848.303596204,2022-02,2022,2
18,3,1377.0446702899999,2022-02,2022,2
18,9,87.627090876,2022-02,2022,2
18,10,4820.096095215,2022-02,2022,2
18,13,312.26611695,2022-02,2022,2
18,14,833.533432724,2022-02,2022,2
18,16,843.806539204,2022-02,2022,2
18,20,459.734896401,2022-02,2022,2
18,21,122.81984248,2022-02,2022,2
18,23,88.562329987,2022-02,2022,2
18,25,591.648494432,2022-02,2022,2
18,31,440.456076735,2022-02,2022,2
18,32,408.29503364,2022-02,2022,2
18,33,464.38962512,2022-02,2022,2
18,35,658.033751967,2022-02,2022,2
18,36,743.585344994,2022-02,2022,2
18,38,856.979715114,2022-02,2022,2
18,39,65.841968944,2022-02,2022,2
18,41,6857.2826363839995,2022-02,2022,2
18,42,225.579423408,2022-02,2022,2
18,43,1160.330019179,2022-02,2022,2
18,45,3450.684982753,2022-02,2022,2
18,46,2300.551029781,2022-02,2022,2
18,47,26541.91805074,2022-02,2022,2
18,49,12963.919419383,2022-02,2022,2
18,52,2640.025154972,2022-02,2022,2
18,53,55.920145201,2022-02,2022,2
18,55,187.51915364799999,2022-02,2022,2
18,56,9982.246428175,2022-02,2022,2
18,61,324.292782205,2022-02,2022,2
18,64,1116.095602577,2022-02,2022,2
18,65,94.522692139,2022-02,2022,2
18,68,117.45070301000001,2022-02,2022,2
18,69,968.328999963,2022-02,2022,2
18,70,144.18572593300001,2022-02,2022,2
18,71,638.09369909,2022-02,2022,2
18,72,119.86729594299999,2022-02,2022,2
18,73,298.350893024,2022-02,2022,2
18,74,240.14789624,2022-02,2022,2
18,75,51.960631045,2022-02,2022,2
18,77,188.485720728,2022-02,2022,2
18,78,73.894493089,2022-02,2022,2
18,80,303.828311407,2022-02,2022,2
18,81,2856.033756123,2022-02,2022,2
18,82,462.71875419,2022-02,2022,2
18,84,5174.606445915,2022-02,2022,2
18,85,7267.638596257,2022-02,2022,2
18,86,3580.150210487,2022-02,2022,2
18,87,123.67818251,2022-02,2022,2
18,88,827.321701543,2022-02,2022,2
18,92,269.923954606,2022-02,2022,2
18,93,118.963249422,2022-02,2022,2
18,94,2955.48995702,2022-02,2022,2
18,95,2232.265627965,2022-02,2022,2
