periodo,ano,mes,pea_nacional,desempleados_nacional,tasa_desempleo_nacional,empleo_nacional,salario_promedio_nacional,informales_nacional,tasa_informalidad_nacional
2024-04,2024,4,21578907.763250846,1614775.4557960532,7.48,22864637.965660043,1739702.0,12753367.868426096,55.78
2024-05,2024,5,21802494.656387217,1573159.9399101818,7.22,23030091.05307644,1769923.0,12624160.829176955,54.82
2024-06,2024,6,21522494.114838794,1511220.6519214949,7.02,22921956.001518056,1768283.0,12707162.465765119,55.44
2024-07,2024,7,21786572.745124027,1491299.4775089761,6.85,23202982.91526806,1791193.0,12867867.654652089,55.46
2024-08,2024,8,22089423.270763487,1511815.244359893,6.84,23417873.02404283,1781562.0,13008257.043402325,55.55
2024-09,2024,9,21812608.929731663,1427476.316277999,6.54,23213314.29930272,1781686.0,12794134.651609335,55.12
2024-10,2024,10,21992543.215640925,1532140.1086252672,6.97,23393105.56130558,1767770.0,12824172.761051485,54.82
2024-11,2024,11,22118224.994975965,1168861.6259321882,5.28,23605261.493499666,1861135.0,12904745.891564988,54.67
2024-12,2024,12,21926847.020118766,1384479.088231599,6.31,23620681.70287547,1825202.0,13283693.287043415,56.24
2025-01,2025,1,21343994.716520518,1743005.83242957,8.17,22902834.71094973,1880734.0,12590466.492223367,54.97
2025-02,2025,2,22153189.308372065,1586125.5526638925,7.16,23469477.029310994,1737069.0,13399544.738256805,57.09
2025-03,2025,3,22415145.825714476,1515851.883690465,6.76,23702393.317065857,1786201.0,13515804.027966324,57.02
2025-04,2025,4,21254207.03974898,1385572.608137296,6.52,23576078.526799306,1987663.0,12781722.367463537,54.21
2025-05,2025,5,22331268.916270636,1379474.979846279,6.18,23626832.111677125,1868727.0,12939802.175210064,54.77
2025-06,2025,6,22362086.141231716,1370177.2229488702,6.13,23752952.660255846,1908351.0,12977673.92856814,54.64
2025-07,2025,7,22527946.89686042,1372224.530635624,6.09,23969044.577373207,1927268.0,13011377.455334848,54.28
2025-08,2025,8,22416815.281860523,1357166.8655726719,6.05,23810839.46918246,1933012.0,12957030.443587508,54.42
2025-09,2025,9,22411053.414410837,1336555.834757324,5.96,23926845.703932732,1923273.0,13030485.285620604,54.46
2025-10,2025,10,22568051.634627998,1321108.258227064,5.85,24369613.48752284,1892883.0,13542326.507980082,55.57
2025-11,2025,11,22958682.584704395,1154699.481782377,5.03,24598644.73983866,1958359.0,13565747.825048974,55.15
2025-12,2025,12,22531008.47286744,1285528.505492499,5.71,24223649.983382016,2058439.0,13297880.857574373,54.9
2026-01,2026,1,21193648.7268297,1704905.125867173,8.04,23227001.6103507,2156402.0,12485606.84249456,53.75
2026-02,2026,2,22533976.613916907,1443581.49177329,6.41,24093963.034063853,2254805.0,13104024.39121326,54.39
2026-03,2026,3,22725720.878003992,1367089.0841593859,6.02,24351999.279526904,2198495.0,13337526.867210893,54.77
2026-04,2026,4,22156997.327447552,1412198.5950891362,6.37,24277105.756162215,2234818.0,12947724.922844786,53.33
